w	(danh từ) w, w (v kép).
wheel	(nội động từ) quay lại, xoay trở lại.
wheel arm	(danh từ) (kỹ thuật) nan hoa.
wheel-base	(danh từ) (kỹ thuật) khong trục bánh xe (giữa trục bánh trước và trục bánh sau).
wheel-chair	(danh từ) ghế đẩy (có bánh xe, cho người tàn tật).
wheel-horse	(danh từ) ngựa buộc gần bánh xe (trong một cỗ xe).
wheel-horse	(danh từ) (từ mỹ, nghĩa mỹ) người chăm làm, người chăm học, người cần cù.
wheel-house	(danh từ) phòng lái (ở tàu thuỷ).
wheel-mounted	(tính từ) đi xe.
wheel-rope	(danh từ) (hàng hi) dây bánh lái.
wheel-track	(danh từ) dệt bánh xe.
wheel-train	(danh từ) hệ thống bánh xe.
wheel-window	(danh từ) (kiến trúc) cửa sổ hoa thị.
wheel-work	(danh từ) (kỹ thuật) hệ thống truyền lực bằng bánh xe răng cưa.
wheelbarrow	(danh từ) xe cút kít.
wheelbase	(danh từ) (kỹ thuật) khoảng cách giữa trước với trục sau của xe gắn động cơ.
wheelchair	(danh từ) xe lăn (ghế tựa có bánh xe, trong đó ai không thể đi có thể tự di chuyển hoặc được đẩy đi; nhất là người tàn tật).
wheeled	(tính từ) có bánh xe.
wheeler	(danh từ) ngựa buộc gần bánh xe (trong một cỗ xe).
wheeler	(danh từ) (kỹ thuật) thợ đóng xe.
wheeler-dealer	(danh từ) <mỹ, thgt> người khéo mặc cả (thường là bất lương).
wheelie	(danh từ) sự đi một bánh (hành động đi xe đạp hoặc mô tô trên một bánh sau, bánh trước nhấc khỏi mặt đất).
wheeling	(danh từ) sự đi xe đạp.
wheeling	(danh từ) chỗ ngoặc.
wheeling	(danh từ) tình trạng đường xá.
wheelman	(danh từ) (từ mỹ, nghĩa mỹ) người đi xe đạp.
wheelsman	(danh từ) (số nhiều wheelsmen) người lái; người lái tàu thủy.
wheelwright	(danh từ) thợ chữa bánh xe.
wheelwright	(danh từ) thợ đóng xe.
wheen	(tính từ) (xcôtlân) vài, một vài.
wheeze	(danh từ) (y học) sự thở khò khè.
wheeze	(danh từ) (sân khấu), (từ lóng) câu chuyện pha trò (đệm giữa các tiết mục).
wheeze	(danh từ) (từ lóng) khoé riêng, cách riêng; kế, mưu.
wheeze	(nội động từ) (y học) thở khò khè.
wheeze	(nội động từ) kêu vu vu, kêu vo vo.
wheeze	(ngoại động từ) to wheeze out nói khò khè.
wheezing	(danh từ) sự thở khò khè.
wheezy	(tính từ) (y học) khò khè.
whelk	(danh từ) (động vật học) ốc buxin.
whelm	(ngoại động từ) (th ca); (văn học) làm chìm, làm đắm, dìm xuống.
whelp	(danh từ) (động vật học) chó con; chó sói con; cọp con; sư tử con....
whelp	(danh từ) (nghĩa bóng) đứa bé mất dạy; đứa bé khó chịu.
whelp	(động từ) đẻ con (chó, chó sói...); đẻ (một kế hoạch...).
when	(phó từ) khi nào, hồi nào, lúc nào, bao giờ.
when	(liên từ) khi, lúc, hồi.
when	(liên từ) trong khi mà, một khi mà.
when	(đại từ) khi (lúc, hồi) mà, mà.
when	(đại từ) khi đó, lúc đó, hồi đó; khi nào, hồi nào, bao giờ.
when	(danh từ) lúc, thời gian, ngày tháng.
whence	(phó từ) (th ca); (văn học) từ đâu, do đâu.
whence	(đại từ) (th ca); (văn học) từ đâu, do đâu.
whence	(đại từ) từ đó, do đó.
whence	(ất c những điều bất hạnh của chúng) anh từ.
whence	(ất c những điều bất hạnh của chúng) (th ca); (văn học) nguồn gốc.
whencesoever	(phó từ & liên từ) từ bất cứ ni nào, dù từ ni nào; do bất cứ nguyên nhân nào, dù là nguyên nhân nào.
wheneer	(phó từ & liên từ) (th ca) (như) whenever.
whenever	(phó từ & liên từ) bất cứ lúc nào; lúc nào.
whenever	(phó từ & liên từ) mỗi lần, mỗi khi, hễ khi nào.
whensoever	(phó từ & liên từ) dạng nhấn mạnh của whenever.
where	(phó từ) đâu, ở đâu, ở ni nào, ở chỗ nào, ở phía nào, ở mặt nào.
where	(phó từ) như thế nào, ra làm sao.
where	(đại từ) đâu, từ đâu; ở đâu.
where	(đại từ) ni (mà), chỗ (mà), điểm (mà).
where	(danh từ) ni chốn, địa điểm.
whereer	(phó từ) (th ca) (như) wherever.
where-about	(phó từ) (từ hiếm, nghĩa hiếm) về việc ấy; nhân việc ấy.
whereabouts	(phó từ) ở đâu vậy, ở phía nào, ở ni nào.
whereabouts	(danh từ) chỗ ở, ni ở (của người nào); ni có thể tìm thấy (cái gì).
whereas	(liên từ) nhưng trái lại, trong khi mà, còn.
whereas	(gười khác lại ghét) (pháp lý) bởi vì, xét rằng.
whereat	(phó từ) vì việc gì, vì cớ gì, tại sao.
whereat	(phó từ) vì đó, do đó.
whereby	(phó từ) do cái gì, bằng cách gì.
whereby	(phó từ) nhờ đó, bởi đó.
wherefore	(phó từ) (từ cổ, nghĩa cổ) tại sao, vì sao.
wherefore	(liên từ) (từ cổ, nghĩa cổ) vì vậy, vì thế, do đó.
wherefore	(danh từ) lý do, cớ.
wherefore	(danh từ)  gì.
wherein	(phó từ) ở chỗ nào, ở điểm nào, về mặt nào.
wherein	(phó từ) từ ở trong ấy, ở ni ấy.
whereof	(phó từ) (từ cổ, nghĩa cổ) về cái gì, về ai.
whereof	(phó từ) mà.
whereon	(phó từ) trên cái gì, về cái gì.
whereon	(phó từ) trên cái đó, về cái đó.
whereout	(phó từ) (từ cổ) từ đó; từ đấy.
wheresoeer	(phó từ) (th ca) (như) wherever.
wheresoever	(phó từ) dạng nhấn mạnh của wherever.
whereto	(phó từ) (từ cổ, nghĩa cổ) tới, tới mục đích đó.
whereunder	(tính từ) (cổ) dưới đó.
whereunto	(phó từ) (từ cổ, nghĩa cổ) tới, tới mục đích đó.
whereupon	(phó từ) về cái đó.
whereupon	(phó từ) nhân đó, ngay lúc đó.
wherever	(phó từ) ở ni nào; đến ni nào; bất cứ ni nào.
wherewith	(phó từ) (từ cổ, nghĩa cổ) với cái đó, bằng cái đó.
wherewithal	(phó từ) (từ cổ, nghĩa cổ) (như) where-with.
wherewithal	(danh từ) (thông tục) the wherewithal tiền cần thiết (cho một việc gì).
wherry	(danh từ) (hàng hi) đò (chở khách trên sông).
wherryman	(danh từ) người chở đò.
whet	(danh từ) sự mài (cho sắc).
whet	(danh từ) miếng (thức ăn) khai vị.
whet	(danh từ) ngụm (rượu...).
whet	(ngoại động từ) mài (cho sắc).
whet	(ngoại động từ) (nghĩa bóng) kích thích (sự ngon miệng, lòng ham muốn...); gợi.
whether	(liên từ) có... không, có... chăng, không biết có... không.
whether	(liên từ) dù... hay, hoặc... hoặc.
whether	(liên từ) trong bất cứ trường hợp nào, bất cứ thế nào.
whether	(đại từ) (từ cổ, nghĩa cổ) một trong hai (vật gì).
whetstone	(danh từ) đá mài.
whetstone	(danh từ) vật kích thích tinh thần.
whew	(thán từ) ôi!; ôi thôi!; úi chà!.
whey	(danh từ) nước sữa.
which	(tính từ) nào (ngụ ý chọn lựa).
which	(tính từ) bất cứ... nào.
which	(tính từ) ấy, đó.
which	(háng, trong thời gian đó anh ta giúp đỡ tôi rất nhiều trong việc học tập) ực.
which	(đại từ nghi vấn) gì, cái nào, người nào, ai (ngụ ý chọn lựa).
which	(đại từ quan hệ) cái mà, mà.
which	(�ang nói tới là một quyển rất lý thú) điều mà, cái mà; cái đó, điều đó, sự việc đó.
which	(àm cho nó thành tàn tật suốt đời) � ngay.
which	(àm cho nó thành tàn tật suốt đời) ược tiếng anh, và làm tất c những cái đó rất dễ dàng.
whichever	(tính từ) nào, bất cứ... nào.
whichever	(đại từ) bất cứ cái nào.
whichsoever	(tính từ & đại từ) dạng nhấn mạnh của whichever.
whiff	(danh từ) (động vật học) cá bn.
whiff	(danh từ) luồng, hi.
whiff	(danh từ) (hàng hi) xuồng nhẹ.
whiff	(danh từ) (thông tục) điếu xì gà nhỏ.
whiff	(động từ) phát ra từng luồng nhẹ, thổi nhẹ.
whiff	(động từ) to ra một mùi nhẹ.
whiffet	(danh từ) (từ mỹ, nghĩa mỹ) người vô dụng, người bất tài.
whiffle	(động từ) thổi nhẹ (gió).
whiffle	(động từ) vẩn v, rung rinh (ý nghĩ, ngọn lửa, lá...).
whiffle	(động từ) lái (tàu) đi nhiều hướng khác nhau.
whig	(danh từ) đng viên đng uých (đng tiền thân của đng tự do ở anh).
whiggery	(danh từ) chủ nghĩa dân quyền của đng uých.
whiggish	(tính từ) (thuộc) đng uých.
whiggism	(danh từ) chủ nghĩa dân quyền của đng uých.
while	(danh từ) lúc, chốc, lát.
while	(danh từ) bõ công, đáng làm.
while	(ngoại động từ) to while away l ng phí, làm mất, để trôi qua; giết (thì giờ).
while	(liên từ) trong lúc, trong khi, đang khi, đang lúc.
while	(liên từ) chừng nào còn, còn.
while	(liên từ) còn, trong khi mà, mà.
whilere	(phó từ) (cổ) cách đây không lâu; mới đây.
whiles	(liên từ) (từ cổ, nghĩa cổ) (như) while.
whilom	(tính từ & phó từ) (từ cổ, nghĩa cổ) trước đây, thuở xưa.
whilst	(liên từ) (như) while.
whim	(danh từ) ý chợt ny ra; ý thích chợt ny ra.
whim	(danh từ) (kỹ thuật) máy trục quặng; máy tời.
whimper	(danh từ) tiếng khóc thút thít; giọng rên rỉ.
whimper	(động từ) thút thít; vừa nói vừa khóc thút thít; rên rỉ.
whimperer	(danh từ) người khóc thút thít; người rên rỉ.
whimpering	(tính từ) khóc thút thít; rên rỉ.
whimsey	(anh từ) xem whimsy.
whimsical	(tính từ) bất thường, hay thay đổi.
whimsical	(tính từ) kỳ quái, kỳ dị.
whimsicality	(danh từ) tính tình bất thường, tính hay thay đổi, tính đồng bóng.
whimsicality	(danh từ) tính chất kỳ quái, tính chất kỳ dị.
whimsicalness	(danh từ) tính tình bất thường, tính hay thay đổi, tính đồng bóng.
whimsicalness	(danh từ) tính chất kỳ quái, tính chất kỳ dị.
whimsy	(danh từ) (như) whim.
whimsy	(danh từ) tính tình bất thường, tính đồng bóng.
whimsy	(danh từ) tính chất kỳ quái, tính chất kỳ dị.
whin	(danh từ) (thực vật học) cây kim tước.
whine	(danh từ) tiếng rên rỉ, tiếng than van; tiếng khóc nhai nhi.
whine	(nội động từ) rên rỉ, than van; khóc nhai nhi (trẻ con).
whine	(ngoại động từ) nói giọng rên rỉ, nói giọng than van.
whining	(tính từ) hay rên rỉ, hay than van; khóc nhai nhi.
whinny	(danh từ) tiếng hí (ngựa).
whinny	(nội động từ) hí (ngựa).
whinny	(tính từ) lắm cây kim tước (khonh đất).
whip	(danh từ) roi, roi da.
whip	(danh từ) người đánh xe ngựa.
whip	(danh từ) người phụ trách chó (khi đi săn).
whip	(danh từ) nghị viên phụ trách tổ chức (của nhóm nghị sĩ của một đng trong nghị viện anh); giấy báo của nghị viên phụ .
whip	(rách tổ chức) cánh quạt máy xay gió.
whip	(rách tổ chức) (hàng hi) cáp kéo.
whip	(nội động từ) xông, lao, chạy vụt.
whip	(nội động từ) quất, đập mạnh vào.
whip	(ngoại động từ) đánh bằng roi, quất.
whip	(ngoại động từ) khâu vắt.
whip	(ngoại động từ) rút, giật, cởi phắt.
whip	(ngoại động từ) đánh (kem, trứng).
whip	(ngoại động từ) (hàng hi) quấn chặt (đầu sợi dây).
whip	(ngoại động từ) (từ lóng) đánh bại, thắng (một địch thủ).
whip	(ngoại động từ) đánh, quất, đuổi (người nào).
whip	(ngoại động từ) tập trung, lùa vào một ni (bằng roi).
whip	(ngoại động từ) (nghĩa bóng) triệu tập.
whip	(ngoại động từ) quất ngựa chạy tới.
whip	(ngoại động từ) rút nhanh; tuốt (kiếm).
whip	(ngoại động từ) giục (ngựa) chạy tới.
whip	(ngoại động từ) triệu tập gấp (hội viên, đng viên).
whip	(ngoại động từ) hn tất c.
whip hand	(danh từ) tay cầm roi, tay phi (của người đánh xe ngựa).
whip hand	(danh từ) (nghĩa bóng) tay trên, phần hn.
whip-cord	(danh từ) sợi bện roi.
whip-round	(danh từ) sự quyên tiền.
whip-round	(nội động từ) quyên tiền.
whip-saw	(danh từ) (kỹ thuật) cưa khoét.
whip-saw	(ngoại động từ) cưa khoét.
whip-saw	(ngoại động từ) (từ mỹ, nghĩa mỹ), (từ lóng) đánh bại (trong một cuộc đánh cá...).
whiplash	(danh từ) dây buộc đầu roi.
whipper	(danh từ) người cầm roi.
whipper	(danh từgười hành hình) đao phủ.
whipper-in	(danh từ) người phụ trách chó (khi đi săn).
whipper-snapper	(danh từ) (thông tục) nhóc con bắng nhắng, nhóc con hay quấy rầy.
whippet	(danh từ) chó đua.
whippet	(danh từ) (quân sự) xe tăng nhẹ.
whippiness	(danh từ) tính mềm dẻo, tính dễ uốn cong.
whipping	(danh từ) trận roi, trận đòn; sự đánh đập, sự quất.
whipping	(danh từ) mũi khâu vắt.
whipping	(danh từ) sự vấn chỉ đầu dây (cho khỏi x).
whipping-boy	(danh từ) (thông tục) người làm bung xung.
whippoorwill	(danh từ) (động vật học) chim đớp muỗi.
whippy	(tính từ) mềm dẻo, dễ uốn.
whipray	(danh từ) (động vật học) cá bn đuôi dài.
whipsawing	(danh từ) (kinh tế học) cưa kéo.
whipstaff	(danh từ) cán roi.
whipster	(danh từ) đứa bé.
whipster	(danh từ) người có tính lông bông (cần trị bằng roi).
whipstitch	(danh từ) mũi khâu vắt.
whir	(danh từ) tiếng kêu vù vù; tiếng kêu vo vo.
whir	(nội động từ) kêu vù vù; kêu vo vo (máy chân vịt, cánh quạt...).
whirl	(danh từ) sự xoay tít, sư xoáy, sự quay lộn.
whirl	(danh từ) gió cuốn, gió lốc.
whirl	(danh từ) (nghĩa bóng) sự hoạt động quay cuồng.
whirl	(danh từ) quay cuồng (đầu óc).
whirl	(danh từ) (từ mỹ, nghĩa mỹ), (thông tục) thử một vật gì, đưa một vật gì ra thử.
whirl	(nội động từ) xoay tít, xoáy, quay lộn.
whirl	(nội động từ) lao đi, chạy nhanh như gió.
whirl	(nội động từ) quay cuồng (đầu óc); chóng mặt.
whirl	(ngoại động từ) làm cho xoay tít, làm xoáy, làm quay lộn.
whirl	(ngoại động từ) cuốn đi.
whirl	(ngoại động từ) lao đi, cuốn đi, chạy nhanh như gió.
whirl	(ngoại động từ) xoáy cuộn rồi ri xuống.
whirligig	(danh từ) con cù, con quay.
whirligig	(danh từ) vòng ngựa gỗ (ở các công viên cho trẻ con chi).
whirligig	(danh từ) sự quay cuồng, sự xoay vần.
whirlpool	(danh từ) xoáy nước.
whirlwind	(danh từ) cn gió cuốn, gió lốn.
whirlwind	(danh từ) (xem) sow.
whirlybird	(danh từ) (từ lóng) máy bay lên thẳng.
whirr	(danh từ) tiếng kêu vù vù; tiếng kêu vo vo.
whirr	(nội động từ) kêu vù vù; kêu vo vo (máy chân vịt, cánh quạt...).
whish	(danh từ) tiếng rít (đạn, gió).
whisht	(danh từ) (đánh bài) uýt (một lối đánh bài).
whisht	(thán từ) im!, suỵt!.
whisk	(danh từ) sự cử động mau lẹ; cái lướt nhanh, động tác vút nhanh; cái vẫy nhẹ.
whisk	(danh từ) phất trần, chổi quét bụi; cái xua ruồi.
whisk	(danh từ) cái đánh trứng, cái đánh kem.
whisk	(ngoại động từ) vụt, đập vút vút.
whisk	(ngoại động từ) vẫy (đuôi).
whisk	(ngoại động từ) đánh (trứng, kem...).
whisk	(nội động từ) lướt nhanh như gió.
whisk	(nội động từ) lôi nhanh đi.
whisk	(nội động từ) xua (ruồi).
whisk	(nội động từ) lấy nhanh, đưa (mang) nhanh đi, lấy biến đi (cái gì).
whisk	(nội động từ) gạt thầm, chùi vội (nước mắt).
whisk	(nội động từ) đi vun vút.
whisk	(nội động từ) đưa (mang) nhanh ra khỏi; lấy biến đi.
whiskered	(tính từ) có tóc mai dài (người).
whiskered	(tính từ) có râu, có ria (mèo, chuột...).
whiskers	(danh từ) tóc mai dài (người).
whiskers	(danh từ) râu, ria (mèo, chuột).
whiskey	(danh từ) rượu uytky.
whiskified	(tính từ) sặc mùi rượu (người nghiện rượu).
whisky	(danh từ) rượu uytky.
whisky-liver	(danh từ) (y học) bệnh x gan vì rượu.
whisley	(danh từ) rượu uytky.
whisper	(danh từ) tiếng nói thầm, tiếng xì xào (của lá...); tiếng vi vu xào xạc (của gió...).
whisper	(danh từ) tin đồn kín, tiếng đồn kín; lời xì xào bàn tán nhỏ to.
whisper	(danh từ) lời nhận xét rỉ tai.
whisper	(danh từ) lời gợi ý bí mật.
whisper	(động từ) nói thầm; xì xào (lá); xào xạc (gió).
whisper	(động từ) xì xào bàn tán.
whisper	(động từ) bí mật phao lên.
whisperer	(danh từ) người hay nói thầm, người hay thì thầm.
whispering	(danh từ) tiếng nói thầm, tiếng thì thầm; tiếng xì xào, tiếng xào xạc.
whispering	(danh từ) tiếng đồn bậy; lời xì xào bậy bạ.
whist	(danh từ) (đánh bài) uýt (một lối đánh bài).
whist	(thán từ) im!, suỵt!.
whistle	(danh từ) sự huýt sáo; sự huýt còi; sự thổi còi; tiếng huýt gió; tiếng còi.
whistle	(danh từ) tiếng hót (chim); tiếng rít (gió); tiếng réo (đạn).
whistle	(danh từ) tiếng còi hiệu.
whistle	(danh từ) cái còi.
whistle	(danh từ) (thông tục) cổ, cuống họng.
whistle	(nội động từ) huýt sáo; huýt còi, thổi còi.
whistle	(nội động từ) hót (chim); rít (gió); réo (đạn).
whistle	(ngoại động từ) huýt sáo; huýt gió gọi.
whistle	(ngoại động từ) huýt gió để gọi.
whistle	(ngoại động từ) vèo qua (đạn).
whistle	(ngoại động từ) bỏ ri người nào.
whistle	(ngoại động từ) thôi không mong gì được đâu.
whistle-stop	(danh từ) (từ mỹ, nghĩa mỹ) ga xép.
whistle-stop	(danh từ) sự dừng lại trên đường đi vận động bầu cử (để nói chuyện với cử tri).
whistler	(danh từ) người hay huýt gió, người hay huýt sáo; chim hay hót.
whistler	(danh từ) ngựa thở khò khè.
whit	(danh từ) not a whit; no whit chẳng tí nào, tuyệt đối không.
white	(tính từ) trắng, bạch, bạc.
white	(tính từ) tái mét, xanh nhợt, trắng bệch.
white	(tính từ) trong, không màu sắc (nước, không khí...).
white	(tính từ) (nghĩa bóng) ngây th, trong trắng; tinh, sạch, sạch sẽ; (nghĩa bóng) vô tội.
white	(tính từ) (chính trị) (thuộc) phái quân chủ; phn cách mạng, phn động.
white	(tính từ) voi trắng.
white	(tính từ) (từ mỹ, nghĩa mỹ), (từ lóng) vật cồng kềnh đắt tiền mà không có ích gì lắm.
white	(tính từ) (xem) feather.
white	(tính từ) ánh sáng mặt trời.
white	(tính từ) (nghĩa bóng) nhận xét khách quan.
white	(tính từ) chiến tranh không đổ máu, chiến tranh kinh tế.
white	(tính từ) thầy phù thuỷ chỉ làm điều thiện.
white	(danh từ) màu trắng.
white	(danh từ) sắc tái, sự tái nhợt.
white	(danh từ) vi trắng, quần áo trắng, đồ trắng.
white	(danh từ) lòng trắng (trứng); tròng trắng (mắt).
white	(danh từ) bột trắng (mì, đại mạch...).
white	(danh từ) người da trắng.
white	(danh từ) (y học) khí hư.
white alloy	(danh từ) hợp kim gi bạc.
white bear	(danh từ) (động vật học) gấu trắng.
white coal	(danh từ) than trắng, sức nước.
white coffee	(danh từ) cà phê sữa.
white collar	(danh từ) (từ mỹ, nghĩa mỹ) công chức.
white heat	(danh từ) nhiệt độ nóng trắng.
white heat	(danh từ) (nghĩa bóng) cn giận điên lên.
white horses	(danh từ) sóng bạc đầu.
white house	(danh từ) (từ mỹ, nghĩa mỹ) nhà trắng.
white iron	(danh từ) thiếc, sắt tây.
white meat	(danh từ) thịt trắng (gà, thỏ, bê, lợn).
white metal	(danh từ) hợp kim gi bạc.
white noise	(danh từ) (kinh tế học) nhiễu trắng.
white paper	(danh từ) (chính trị) sách trắng (của chính phủ).
white plan	(danh từ) (kinh tế học) kế hoạch white.
white rage	(danh từ) cn giận điên lên, cn giận tái người.
white satin	(danh từ) <lóng> rượu gin.
white slave	(danh từ) con gái bị lừa đưa ra nước ngoài làm đĩ.
white-bear	(danh từ) (động từ) gấu trắng.
white-beard	(danh từ) người già c.
white-blooded	(tính từ) thiếu máu.
white-book	(danh từ) (ngoại giao) sách trắng.
white-caps	(danh từ) sóng bạc đầu.
white-coal	(danh từ) than trắng, thủy năng.
white-collar	(tính từ) (nói về công việc, người lao động...) không làm bằng chân tay; lao động trí óc.
white-collar worker	(danh từ) (kinh tế học) công nhân cổ trắng, bàn giấy.
white-fish	(danh từ) cá thịt trắng (như) cá hồi; cá moruy....
white-fish	(danh từ) (động vật) cá hồi trắng, cá ngần.
white-hot	(tính từ) bị nung đỏ trắng.
white-hot	(tính từ) (nghĩa bóng) giận điên lên.
white-hot	(tính từ) (từ mỹ, (từ lóng)) bị truy nã vì trọng tội.
white-lipped	(tính từ) môi tái đi (vì sợ h i).
white-livered	(tính từ) nhát gan, nhút nhát.
white-skin	(danh từ) người da trắng (người).
white-slave	(tính từ) white-slave traffic nghề lừa con gái đưa ra nước ngoài làm đĩ.
white-throat	(danh từ) (động vật học) chim chích cổ bạc.
whitebait	(danh từ) cá trắng nhỏ.
whitecap	(danh từ) sóng bạc đầu.
whited	(tính từ) (từ hiếm) trắng ra, hoá trắng.
whited sepulchre	(danh từ) kẻ đạo đức gi.
whiteguard	(danh từ) tên bạch vệ.
whiteguard	(tính từ) (thuộc) bạch vệ.
whitehall	(danh từ) đường phố có nhiều cơ quan của chính phủ (ở luân đôn).
whitehall	(danh từ) rumours are circulating in whitehall.
whitehall	(danh từ) có tin đồn đang lan truyền ở khu whitehall.
whitehall	(danh từ) chính phủ anh.
whiten	(ngoại động từ) làm trắng; làm bạc (tóc).
whiten	(ngoại động từ) sn trắng, quét vôi trắng (lên tường...).
whiten	(ngoại động từ) mạ thiếc (kim loại).
whiten	(nội động từ) hoá trắng, trắng ra.
whiten	(nội động từ) tái, tái nhợt đi, trắng bệch ra (mặt).
whiteness	(danh từ) sắc trắng, màu bạc.
whiteness	(danh từ) sắc tái nhợt (mặt...).
whiteness	(danh từ) (nghĩa bóng) sự ngây th, sự trong trắng.
whitening	(danh từ) sự chuội, sự tẩy trắng, sự làm cho trắng.
whitening	(danh từ) (kỹ thuật) sự mạ thiếc (kim loại).
whitening	(danh từ) vôi bột trắng (để quét tường).
whitesmith	(danh từ) thợ thiếc.
whitethorn	(danh từ) (thực vật học) cây táo gai.
whitewash	(danh từ) nước vôi (quét tường).
whitewash	(danh từ) (nghĩa bóng) sự thanh minh; sự minh oan.
whitewash	(ngoại động từ) quét vôi trắng.
whitewash	(ngoại động từ) (nghĩa bóng) thanh minh; minh oan.
whitewash	(ngoại động từ) (dạng bị động) được toà án xử và được kinh doanh lại (người vỡ nợ).
whitewasher	(danh từ) người quét vôi trắng.
whitewasher	(danh từ) (nghĩa bóng) người thanh minh; người minh oan.
whitewashing	(danh từ) sự quét vôi trắng.
whitewashing	(danh từ) (nghĩa bóng) sự thanh minh; sự minh oan.
whitey	(tính từ) trắng nhờ nhờ.
whitey	(danh từ) (từ mỹ, khinh) tên da trắng (ngôn ngữ người da trắng).
whither	(phó từ) (từ cổ, nghĩa cổ) đâu, đến đâu, tới đâu.
whither	(phó từ) ni mà.
whither	(danh từ) (từ cổ, nghĩa cổ) ni đến.
whithersoever	(phó từ) (từ cổ, nghĩa cổ) đến bất kỳ ni nào, đến đâu cũng được.
whitherto	(phó từ) (cổ) đâu; đi đâu.
whiting	(danh từ) vôi bột trắng (để quét tường).
whitish	(tính từ) hi trắng.
whitleather	(danh từ) da crômê.
whitlow	(danh từ) (y học) chín mé.
whitsun	(danh từ) ngày chủ nhật lễ hiện xuống và những ngày gần đó; tuần lễ hiện xuống (cũng) whit.
whittle	(danh từ) (từ cổ, nghĩa cổ) dao bầu.
whittle	(ngoại động từ) chuốt, gọt, vót; đẽo (bằng dao).
whittle	(ngoại động từ) gọt.
whittle	(ngoại động từ) gọt, đẽo.
whittle	(ngoại động từ) bớt dần, cắt xén dần, xén bớt.
whittling	(danh từ) mnh đẽo.
whity	(tính từ) trắng nhạt.
whiz	(danh từ) tiếng rít, tiếng vèo (của đạn...).
whiz	(nội động từ) rít, vèo.
whiz-kid	(danh từ) người thành đạt rất nhanh; người lên như diều.
whizz	(danh từ) tiếng rít, tiếng vèo (của đạn...).
whizz	(nội động từ) rít, vèo.
whizz kid	(danh từ) thần đồng.
whizz kid	(danh từ) người trẻ mà uy tín lớn.
whizz-bang	(danh từ) (quân sự), (từ lóng) đạn đại bác cỡ nhỏ đi rất nhanh.
whizzer	(danh từ) cái gì rít (réo) trên không.
whizzer	(danh từ) máy sấy (quay nhanh phát ra tiếng réo).
who	(đại từ nghi vấn) ai, người nào, kẻ nào, người như thế nào.
who	(đại từ quan hệ) (những) người mà; hắn, họ.
whos who	(danh từ) danh sách và lược sử những người có tên tuổi.
whoa	(thán từ) họ!, họ! (để ngựa... dừng lại).
whodunit	(danh từ) (từ lóng) truyện trinh thám; phim trinh thám.
whodunnit	(danh từ) (từ lóng) truyện trinh thám; phim trinh thám.
whoeer	(đại từ) (th ca) (như) whoever.
whoever	(đại từ) ai, người nào, bất cứ ai, bất cứ người nào, dù ai.
whole	(tính từ) bình an vô sự, không suy suyển, không hư hỏng.
whole	(tính từ) đầy đủ, nguyên vẹn, nguyên chất, trọn vẹn, toàn bộ.
whole	(tính từ) (từ cổ, nghĩa cổ) khoẻ mạnh.
whole	(tính từ) toàn tâm toàn ý làm việc gì.
whole	(danh từ) toàn bộ, tất c, toàn thể.
whole	(danh từ) (toán học) tổng.
whole meal	(danh từ) bột chưa rây.
whole note	(danh từ) nốt tròn (nốt nhạc viết dài nhất được dùng phổ biến, độ dài bằng hai nốt trắng).
whole number	(danh từ) (toán học) số nguyên.
whole-hearted	(tính từ) toàn tâm, toàn ý, một lòng một dạ.
whole-heartedness	(danh từ) sự toàn tâm toàn ý.
whole-length	(tính từ) toàn thân (bức chân dung).
wholehearted	(tính từ) toàn tâm, toàn ý, một lòng một dạ.
wholeheartedly	(phó từ) toàn tâm toàn ý; một lòng một dạ; hết lòng.
wholeheartedness	(danh từ) sự toàn tâm toàn ý.
wholeness	(danh từ) sự đầy đủ, sự trọn vẹn, sự nguyên vẹn, sự nguyên chất.
wholesale	(danh từ) (kinh tế học) buôn bán, bán sỉ.
wholesale	(danh từ) (thưng nghiệp) sự bán buôn, sự bán sỉ.
wholesale	(danh từ) (nghĩa bóng) c lô, c khối.
wholesale	(tính từ & phó từ) (thưng nghiệp) buôn, sỉ.
wholesale	(tính từ & phó từ) (nghĩa bóng) quy mô lớn; hàng loạt, hàng đống.
wholesale banking	(danh từ) (kinh tế học) dịch vụ ngân hàng bán buôn.
wholesaler	(danh từ) người bán buôn.
wholesome	(tính từ) lành, không độc.
wholesome	(tính từ) khoẻ mạnh, tráng kiện.
wholesome	(tính từ) (nghĩa bóng) bổ ích, lành mạnh.
wholesomeness	(danh từ) tính chất lành.
wholesomeness	(danh từ) sự khoẻ mạnh, sự tráng kiện.
wholesomeness	(danh từ) (nghĩa bóng) tính chất bổ ích, tính chất lành mạnh.
wholly	(phó từ) toàn bộ, hoàn toàn.
whom	(đại từ nghi vấn) ai, người nào.
whom	(đại từ quan hệ) (những) người mà.
whomever	(đại từ) ai, người nào; bất cứ ai, bất cứ người nào, dù ai.
whomsoever	(đại từ) dạng nhấn mạnh của whomever.
whoo	(thán từ) ồ! à! ôi! (chỉ ngạc nhiên hoặc đau buồn).
whoop	(thán từ) húp! (tiếng thúc ngựa).
whoop	(danh từ) tiếng kêu, tiếng la lớn, tiếng reo, tiếng hò reo.
whoop	(danh từ) tiếng ho khúc khắc.
whoop	(nội động từ) kêu, la, reo, hò reo.
whoop	(nội động từ) ho khúc khắc.
whoop	(nội động từ) hoan hô.
whoop	(nội động từ) (thông tục) vỗ tay hoan nghênh.
