a-đô-nít	(dtừ) adonis.
ăn chặn	() to appropriate part of something.
ăn chặn	() to misappropriate.
ăn chất thối rữa	(ttừ) saprophagous.
ăn chẹt	(đtừ) to take unfair advantage of.
ăn chia	() to share something with somebody.
ăn chia	() xem móc ngoặc.
ăn chia đồng đều	() share and share alike.
ăn chịu	() to eat on credit.
ăn cho ai sập tiệm	() to eat somebody out of house and home.
ăn cho đã	() to eat as much as one likes.
ăn cho đã	() to eat to one's heart's content.
ăn cho đã	() to eat one's fill.
ăn chơi	() to indulge in dissipation.
ăn chơi	() to sink in depravity.
ăn chơi	() to lead a fast life/a life of debauchery.
ăn chơi	() to abandon oneself to a life of pleasure.
ăn chơi	() to be a playboy.
ăn chơi	() to be on the loose.
ăn chơi chè chén	(dtừ) revelling.
ăn chơi đàn đúm	() wine, women and song.
ăn chơi hoang toàng	(dtừ) riot.
ăn chơi trụy lạc	(dtừ) pleasure.
ăn chung	() to eat together.
ăn chung	() to mess.
ăn chực	() to freeload.
ăn chực	() to sponge.
ăn chực nằm chờ	(nđtừ) sorn.
ăn có nhai	(an co nhai noi co nghi,tục ngữ) first think, then speak.
ăn có nhai	(an co nhai noi co nghi,tục ngữ) look before you leap.
ăn có nhai	(an co nhai noi co nghi,tục ngữ) think twice before you open your mouth.
ăn có nhai nói có nghĩ	(thngữ) look before you leap.
ăn cỏ	() grass-feeding.
ăn cỏ	() herbivorous.
ăn cỏ	() to graze.
ăn cỏ	() to pasture.
ăn cỗ	() xem ăn giỗ.
ăn cơm	() to eat rice.
ăn cơm	() to take a meal.
ăn cơm	() to have lunch/dinner.
ăn cơm chay	() to eat/take a vegetarian meal.
ăn cơm chay	() to eat vegetarian food.
ăn cơm nhà	() to eat at home.
ăn cơm nhà	() to eat in.
ăn cơm nhà vác ngà voi	(tục ngữ) to be a fool for one's pains.
ăn cơm tháng	(đtừ) to board.
ăn cơm trọ	(dtừ) boarding.
ăn cơm trước kẻng	() nghĩa bóng to sleep together.
ăn cơm trước kẻng	() to live in sin.
ăn cơm trước kẻng	() to cohabit.
ăn cơm trước kẻng	() to have premarital sex together.
ăn cơm tù	() to do porridge.
ăn cuộc	() to win a bet.
ăn cùng bàn	(dtừ) commensalism.
ăn cùng bàn	(ttừ) commensal.
ăn cùng mâm	(dtừ) commensalism.
ăn cùng mâm	(ttừ) commensal.
ăn của đút	() xem ăn hối lộ.
ăn cưới	() to attend a wedding.
ăn cướp	() to rob.
ăn cướp	() to deprive.
ăn cướp	() to spoliate.
ăn cướp bằng vũ khí	(thngữ) to stick up.
ăn cướp biển	(nđtừ) pirate.
ăn da	() caustic.
ăn dần ăn mòn	(thngữ) eat sth away/eat away at sth, to eat away.
ăn dè	() to practise economy/thrift.
ăn dè	() to tighten one's belt.
ăn diện	() to be stylish.
ăn diện	() to dress smartly.
ăn dính răng	(dtừ) clamminess.
ăn đám	() to attend a banquet.
ăn đã đời	() xem ăn cho đã.
ăn đất	() (bệnh chứng) dirt-eating.
ăn đêm	() to earn one's living at night.
ăn đến nơi	() an den noi lam den chon,never do things by halves.
ăn để	(ngđtừ) gormandize.
ăn đong	() to live from hand to mouth.
ăn đong	() to live in want.
ăn đói	(ttừ) underfed.
ăn đòn	() to get spanked.
ăn đòn	() to get a thrashing/hiding.
ăn đòn	() to get a shower of blows.
ăn đường	() to use as travel provisions.
ăn được	() fit to eat.
ăn được	() edible.
ăn được	() eatable.
ăn được	() comestible.
ăn được rồi	(ttừ) ripe.
ăn đứng	() to eat standing up.
ăn đứt	(đtừ) to prevail over, to get the better of.
ăn đứt	(đtừ) gain the upper hand over somebody, prevail over somebody.
ăn gấp	(đtừ) to eat hurriedly, dispose of a meal.
ăn ghé	(đtừ) to be a hanger-on.
ăn ghé	(đtừ) to feed on the expense of others.
ăn ghé	(đtừ) như ăn ghẹ.
ăn ghém	(đtừ) to feed on uncooked vegetables.
ăn ghẹ	() như ăn ghé.
ăn gian	() to cheat.
ăn gian	() to swindle.
ăn gian tuổi	() to lie about one's age.
ăn giá	(đtừ) to strike a bargain, to come to terms.
ăn giá	(đtừ) to make arrangements about prices, agree on a price.
ăn già	(đtừ) to continue gambling in an attempt to win bigger gains.
ăn giả bữa	() to eat with good appetite after a long illness.
ăn giải	(đtừ) to win the prize.
ăn giầu	() xem ăn trầu.
ăn giỗ	() to attend a feast in honour of the death anniversary.
ăn gỏi	(đtừ) to eat uncooked food, stuffs.
ăn gỏi	(đtừ) spend too much.
ăn gỗ	(dtừ) xylophagous.
ăn gửi	() sponge on another, board.
ăn hàng	() load cargo.
ăn hàng	() purchase merchandize.
ăn hàng	() dine out.
ăn hại	(đtừ) to eat one's head off, to live as a parasite, to live at the expense of.
ăn hạt	(ttừ) granivorous, seminivorous.
ăn hầu hết	(dtừ) slam.
ăn hết	() to eat up.
ăn hết	() to finish off/up.
ăn hết sạch	(thngữ) to finish up.
ăn hiếp	() xem bắt nạt.
ăn hiếp chồng	() xem bắt nạt chồng.
ăn hoa hồng	() to get a commission/percentage.
ăn hoa hồng lậu	(dtừ) squeeze.
ăn hoả thực	() to eat meat from a charcoal-heated pot.
ăn hỏi	(đtừ) to attend a betrothal ceremony.
ăn học	() to study.
ăn hối lộ	() to take bribes.
ăn hớt	() to profit by others' labour.
ăn huê hồng	() xem ăn hoa hồng.
ăn hương hoả	(dtừ) get the inheritance and share in the family property.
ăn kham khổ	(dtừ) have frugal meals.
ăn khao	(đtừ) to celebrate a happy event by giving a banquet.
ăn khách	() xem bán chạy.
ăn khách	() prevalent.
ăn khách	() in vogue.
ăn khảnh	(đtừ) to be a picky eater.
ăn khảnh	(đtừ) to be fastidious about food/too nice about one's food.
ăn khẩn trương	(ngđtừ) dispatch.
ăn khem	() như ăn kiêng.
ăn khó tiêu	() to have an upset stomach.
ăn khó tiêu	() one's stomach feels heavy.
ăn khó tiêu	() to have dyspepsia/indigestion.
ăn khỏe	() to eat like a horse.
ăn khỏe	() to be a good knife and fork.
ăn khỏe hơn	(ngđtừ) outeat.
ăn không	(đtừ) to live in idleness.
ăn không	(đtừ) to appropriate, to trick out of.
ăn không ngồi rồi	() to eat the bread of idleness.
ăn không ngồi rồi	() to have time on one's hands/time to kill.
ăn không ngồi rồi	() to live in idleness.
ăn không ngồi rồi	() to live a life of leisure.
ăn không ngồi rồi	() to be at a loose end.
ăn không ngồi rồi	() to be a layabout/do-nothing.
ăn không tiêu	() xem ăn khó tiêu.
ăn khớp	() to fit.
ăn khớp	() to tally/coincide/agree with something.
ăn khớp	() to be consistent with something.
ăn khớp chặt chẽ	(đtừ) dovetail.
ăn khớp với nhau	(nđtừ) tally.
ăn khớp với nhau	(thngữ) to hang together.
ăn kiêng	() to be/go on a diet.
ăn kiêng	() to follow a strict regimen.
ăn lan	(đtừ) to enlarge.
ăn lan	(đtừ) to spread.
ăn lan ra	() to spread out.
ăn lá	(ttừ) phyllophagous.
ăn làm	(đtừ) to work for one's living.
ăn lãi	(đtừ) to make profits.
ăn lạt	() to eat insipid food.
ăn lấy	(ngđtừ) gormandize.
ăn lấy ăn để	(ngđtừ) punish.
ăn lấy ăn để	(thngữ) to pitch into.
ăn lễ	(đtừ) to take, accept bribes.
ăn liền	() instant.
ăn lót dạ	() to have a light meal.
ăn lót dạ	() to have a snack.
ăn lót dạ	() xem ăn sáng.
ăn lót lòng	() xem ăn lót dạ.
ăn lộc	(đtừ) to enjoy good fortune (happiness, honours or office).
ăn lộc	(đtừ) enjoy material advantages.
ăn lời	() to be on the fiddle.
ăn lưng lửng	() to eat nearly one's fill.
ăn lưng lửng	() to have a snack.
ăn lương	() to get paid.
ăn may	(dtừ) flukiness.
ăn may	(phó từ) flukily.
ăn mày	() xem ăn xin.
ăn mày còn đòi xôi gấc	(thngữ) beggars must (should) be no choosers.
ăn mày đòi xôi gấc	() beggars can't be choosers.
ăn mảnh	(đtừ) to work stealthily for one's own profits.
ăn mằm với	(ttừ) familiar.
ăn mặc	() to dress (oneself).
ăn mặc	() to get dressed.
ăn mặc chải chuốt	() to be dressed up to kill.
ăn mặc chải chuốt	() to be dressed up to the nines.
ăn mặc chải chuốt tề chỉnh	(thngữ) to dress up.
ăn mặc cổ hủ	(ttừ) frumpish.
ăn mặc diêm dúa	(dtừ) dandification.
ăn mặc đẹp	() to wear good clothes.
ăn mặc đẹp	() to dress smartly.
ăn mặc đẹp	() to dress up.
ăn mặc đúng mốt	(ttừ) dandyish, silk-stocking.
ăn mặc gọn gàng diêm dúa	(thngữ) to trim up.
ăn mặc không đúng mốt	(ttừ) dowdy.
ăn mặc không kín đáo	(dtừ) dishabille.
ăn mặc lịch sự	(ttừ) silk-stocking.
ăn mặc loè loẹt	() to dress gaudily.
ăn mặc lôi thôi	(ttừ) unbraced.
ăn mặc lôi thôi lếch thếch	(ttừ) draggle-tailed.
ăn mặc lố lăng	(thngữ) to make a sight of oneself.
ăn mặc nghèo nàn rách rưới	(thngữ) out at heels.
ăn mặc nhếch nhác	(thngữ) to be down at heels.
ăn mặc nhếch nhác	(ttừ) draggle-tailed, dishevelled.
ăn mặc nói năng như dô kề	(ttừ) horsy.
ăn mặc quá diện	(đtừ) overdress.
ăn mặc quá sơ sài	(ttừ) underdressed.
ăn mặc rách rưới	(ttừ) tattered.
ăn mặc rất chải chuốt	(thngữ) (be) dressed up to the nines.
ăn mặc rất đẹp	(thngữ) (be) dressed like dog's dinner.
ăn mặc rất lòe loẹt	(thngữ) (be) dressed like dog's dinner.
ăn mặc sang trọng	(dtừ) bravery.
ăn mặc tề chỉnh chải chuốt	(ngđtừ) groom.
ăn mặc tồi tàn	() to dress badly.
ăn mặc xềnh xoàng	(dtừ) dishabille.
ăn mặc xuềnh xoàng	(ttừ) underdressed.
ăn mặn	() to eat savoury food.
ăn mặn	() to eat salty food.
ăn mặn	() to eat meat.
ăn mặn khát nước	() xem gieo gió gặt bão.
ăn mất ngon	(thngữ) to take the edge off one's appetite.
ăn miếng chả	(thngữ) to give a roland for an oliver.
ăn miếng trả miếng	() tit for tat.
ăn miếng trả miếng	() an eye for an eye, a tooth for a tooth.
ăn miếng trả miếng	() to repay insults in kind.
ăn miếng trả miếng	() to pay sb in his own coin/in the same coin.
ăn miếng trả miếng	() to give sb a dose of his own medicine.
ăn mòn	() to eat away.
ăn mòn	() to corrode.
ăn mòn	() to erode.
ăn mồi sống	(dtừ) predacity.
ăn mồi sống	(ttừ) predatory, predacious.
ăn một cách tham lam	(ngđtừ) demolish.
ăn một cách thèm khát hặc nhiệt tình	(thngữ) to dig in.
ăn một cách thèm khát hặc nhiệt tình	(thngữ) dig into sth.
ăn một chút	() xem ăn lót dạ 1.
ăn mừng	() to celebrate (with feasts and rejoicings).
ăn năn	() to repent.
ăn năn	() to show repentance/remorse/penitence.
ăn năn	() to be conscience-stricken/conscience-smitten.
ăn năn hối hận	(ttừ) conscience-struck.
ăn năn hối lỗi	(dtừ) purgatory.
ăn năn hối lỗi	(ttừ) purgatorial.
ăn nắng	() xem bắt nắng.
ăn nằm	() to have sexual relations with somebody.
ăn nằm	() to sleep with somebody.
ăn nằm	() to spend the night with somebody.
ăn nằm	() to go to bed with somebody.
ăn nằm	() to have carnal knowledge of somebody.
ăn nằm với	(dtừ) familiarity, intimacy.
ăn nằm với nhau	(dtừ) intercourse, love-making, embrace, commerce.
ăn nằm với nhau trước khi cưới	(thngữ) to take dinner without grace.
ăn nấm	(ttừ) fungivorous.
ăn nên làm ra	() to thrive.
ăn nên làm ra	() to flourish.
ăn nên làm ra	() to prosper.
ăn ngay được	(ttừ) instant.
ăn ngấu nghiến	() to eat ravenously.
ăn ngấu nghiến	() to gobble.
ăn ngấu nghiến	() to gulp.
ăn ngấu nghiến	() to devour.
ăn ngoài	() to eat in a restaurant.
ăn ngoài	() to eat out.
ăn ngon	() to eat delicious food.
ăn ngon	() to eat ambrosia.
ăn ngon lành	(thngữ) to tuck into, to walk into, to tuck in.
ăn ngon mặc đẹp	(thngữ) creature comforts.
ăn ngon miệng	() to have a good/hearty appetite.
ăn ngon miệng	() to take sweetmeat.
ăn ngon ngủ yên	(thngữ) a good conscience is a constant feast.
ăn ngon ngủ yên	(thngữ) a good conscience is a soft pillow.
ăn ngốn	(đtừ) to devour.
ăn ngốn	(đtừ) to eat greedily, gobble.
ăn ngốn	(đtừ) guzzle.
ăn người	(đtừ) to gain advantage over others by one's wits, to get the better of others by one's wits.
ăn nhạt	() to eat insipid food.
ăn nhằm gì!	() xem ăn thua gì!.
ăn nhập	() to concern.
ăn nhập	() to relate to something.
ăn nhập	() to have to do with something.
ăn nhậu	() to indulge in drink.
ăn nhẹ	() to take/have a snack.
ăn nhẹ	() to have a light meal.
ăn nhiều	(ngđtừ) punish.
ăn nhiều	(thngữ) eat like a horse.
ăn nhiều	(ttừ) polyphagous.
ăn nhịp	() to be in tune/harmony with something.
ăn nhồi nhét	(thngữ) to tuck in.
ăn như heo	() to make a pig of oneself.
ăn như heo	() to eat like a horse/pig.
ăn no	() to eat one's fill.
ăn no mặc ấm	() to feed and clothe oneself properly.
ăn non	() to quit gambling with the winnings.
ăn nói	() to speak.
ăn nói	()  to express oneself.
ăn nói	()  to verbalise.
ăn nói ba hoa	(thngữ) to have a loose tongue.
ăn nói bừa bãi	(nđtừ) slummock.
ăn nói dớ dẩn	(nđtừ) footle.
ăn nói đúng nơi đúng lúc	(dtừ) felicity.
ăn nói giữ gìn	(thngữ) to be coy of speech.
ăn nói không đúng mức	(dtừ) intemperance.
ăn nói không đúng mức	(ttừ) intemperate.
ăn nói liến thoắng	(dtừ) glibness.
ăn nói lịch sự nhã nhặn	(ttừ) clean-tongued.
ăn nói lỗ mãng	(ttừ) rough-spoken.
ăn nói mập mờ	(dtừ) shuffle.
ăn nói ngọt ngào	() honey-mouthed.
ăn nói ngọt ngào	() honey-tongued.
ăn nói ngọt ngào	() smooth-spoken.
ăn nói ngọt ngào như đường mật	(ttừ) honey-mouthed.
ăn nói ngọt sớt	(ttừ) mealy-mouthed.
ăn nói nhã nhặn	(ttừ) fair-spoken.
ăn nói quanh co	() mealy-mouthed.
ăn nói sắc sảo	(nđtừ) scintillate.
ăn nói sắc sảo	(ttừ) sharp-tongued.
ăn nói thẳng thắn	() straightforward.
ăn nói thẳng thắn	() outspoken.
ăn nói thẳng thắn	() plain-spoken.
ăn nói thô lỗ	(ttừ) foul-mouthed, rough-spoken.
ăn nói thô tục	(ttừ) foul-mouthed.
ăn nói tục tĩu	(ttừ) foul-mouthed.
ăn nóng	(thngữ) hot and hot.
ăn nốt	() xem ăn hết.
ăn nốt cho hết	(thngữ) to finish up.
ăn ở	() bed and board.
ăn ở	() board and lodging.
ăn ở	() housing.
ăn ở	() accommodation.
ăn ở	() to conduct/comport oneself.
ăn ở	() to behave.
ăn ở	() to live.
ăn ở	() xem ăn nằm.
ăn ở	() xem kết hôn.
ăn ở	() xem lấy nhau.
ăn ở bẩn thỉu như ở chuồng lợn	(nđtừ) sty.
ăn ở bậy bạ	(đtừ) misbehave.
ăn ở bủn xỉn	(nđtừ) scrimp.
ăn ở chó má	(dtừ) doggery.
ăn ở được mời ăn	(thngữ) to break bread with.
ăn ở hai lòng	(ttừ) ambidexter.
ăn ở keo kiệt	(đtừ) skimp.
ăn ở keo kiệt	(nđtừ) scrimp.
ăn ở không mất tiền	(dtừ) free quarters.
ăn ở không ra gì	(thngữ) to make oneself cheap.
ăn ở với nhau	(dtừ) cohabitation.
ăn ở với nhau	(nđtừ) cohabit.
ăn ở với xóm giềng thuận hòa	(ttừ) neighbourly.
ăn phàm	(nđtừ) gluttonize.
ăn phàm	(thngữ) to make a pig of oneself.
ăn phân	(ttừ) scatophagous, coprophagous.
ăn qua loa	() to take/have a snack.
ăn qua loa	() to have a light meal.
ăn quá	() to overeat.
ăn quá	() to overfeed.
ăn quá mức	(nđtừ) overfeed, overeat.
ăn quá nhiều	(nđtừ) overfeed, overeat.
ăn quà vặt	() to eat between meals.
ăn quà vặt	() to nosh.
ăn quả	(ttừ) carpophagous, frugivorous.
ăn quả hạch	(ttừ) nucivorous.
ăn quả mọng	(ttừ) baccivorous.
ăn quịt	() to evade paying.
ăn quịt	() to refuse to pay.
ăn quịt	() to refuse to pay one's meal.
ăn rễ	() to root.
ăn rễ	() to take root.
ăn riêng	() to eat seperately.
ăn roi	() xem ăn đòn.
ăn rỗi	(đtừ) to devour voraciously.
ăn sáng	() to have/take breakfast.
ăn sáng	() breakfast.
ăn sạch	(ngđtừ) finish.
ăn sạch	(thngữ) to eat up.
ăn sạt nghiệp	(thngữ) to eat sb out of house and home.
ăn sâu	(dtừ) bite, chronicity.
ăn sâu	(đtừ) bite.
ăn sâu	(ngđtừ) indurate.
ăn sâu	(nđtừ) indurate.
ăn sâu	(ttừ) inveterate, chronic, confirmed, engrained, ingrained, ingrain, rooted, deep-rooted.
ăn sâu bọ	(ttừ) insectivorous, entomophagous.
ăn sâu vào	(nđtừ) sink.
ăn sâu vào	(thngữ) to grow in.
ăn sống	() to eat something raw.
ăn sống nuốt tươi	(ngđtừ) devour.
ăn sung mặc sướng	() to live in clover/in luxury/on the fat of the land, to live like a lord, to live like fighting cocks.
ăn sung mặc sướng	() to live in regal splendour.
ăn sương	(đtừ) to be a night-bird, to walk the streets.
ăn tái	() to eat something underdone.
ăn tạm	() to have a light meal.
ăn tạm	() to have a snack.
ăn tạp	() omnivorous.
ăn tân gia	() to give/hold a housewarming.
ăn tân gia	() to attend a housewarming.
ăn tết	() to celebrate new year/new year festival.
ăn tham	(ttừ) greedy.
ăn tham	(ttừ) gluttonous.
ăn thả giàn	() xem ăn cho đã.
ăn thâm vào	() to eat into ....
ăn theo	() to live off somebody.
ăn theo	() to sponge on somebody.
ăn theo	() to be dependent on somebody.
ăn thêm	() to eat more.
ăn thết	() to be entertained/treated to a meal.
ăn thề	() to take an oath.
ăn thề	() to swear brotherhood (loyalty ...).
ăn thiếu	(ttừ) underfed.
ăn thịt	() flesh-eating.
ăn thịt	() carnivorous.
ăn thịt	(đùa cợt) to eat somebody alive.
ăn thịt	(đùa cợt) to eat.
ăn thịt đồng loại	(ttừ) cannibalistic.
ăn thịt động vật	(ttừ) zoophagan.
ăn thịt người	() man-eating.
ăn thịt người	() cannibalistic.
ăn thịt người	() anthropophagous.
ăn thịt sống	(dtừ) omophagia, predacity.
ăn thịt sống	(đtừ) cannibalise, cannibalize.
ăn thịt sống	(ttừ) predacious, omophagous, omophagic.
ăn thôi nôi	() to attend somebody's first birthday party.
ăn thua	() to depend on somebody/something.
ăn thua	() to be dependent on somebody/something.
ăn thua	() for competition/rivalry.
ăn thua	() xem không ăn thua.
ăn thua đủ	() to oppose somebody to the finish.
ăn thua đủ	() to offer a life-and-death resistance to somebody.
ăn thua đủ	() to have a showdown with somebody.
ăn thua gì!	() that's of little importance!.
ăn thua gì!	() no problem!.
ăn thua gì!	() it doens't matter!.
ăn thủng	(đtừ) eat.
ăn thừa	() eat the leavings.
ăn thừa tự	() fall heir, inherit form (father ...).
ăn thử	() taste, sample food.
ăn thực vật	(ttừ) phytophagous.
ăn tiêu	() to spend, to spend money.
ăn tiêu hoang phí	(dtừ) profuseness.
ăn tiền	() to accept/take bribes.
ăn tiền	() to bring good results.
ăn tiền	() successful, alright, ok.
ăn tiền	() for money.
ăn tiệc	() to attend a dinner/banquet/party.
ăn to nói lớn	() to speak out.
ăn tối	() to dine.
ăn tối	() to take/have dinner.
ăn trai sò	(ttừ) ostreophagous.
ăn tráng miệng	() to have/take dessert.
ăn tráng miệng	() dessert.
ăn trắng	(dtừ) capot.
ăn trắng	(ngđtừ) capot.
ăn trắng mặc trơn	() xem ăn sung mặc sướng.
ăn trầu	() to chew betel.
ăn trộm	() to steal.
ăn trộm	() to burgle.
ăn trộm	() to rob.
ăn trộm bẻ khóa	(dtừ) burglary.
ăn trộm bẻ khóa	(đtừ) burglarize, burgle.
ăn trộm bẻ khóa	(ttừ) burglarious.
ăn trộm đào ngạch	(dtừ) burglary.
ăn trộm đào ngạch	(đtừ) burglarize, burgle.
ăn trộm đào ngạch	(ttừ) burglarious.
ăn trộm đêm	(dtừ) burglary.
ăn trộm đồ thờ	(ttừ) sacrilegious.
ăn trộm và đổi dấu	(ngđtừ) duff.
ăn trưa	() to have/eat/take (one's) lunch.
ăn trưa	() to lunch.
ăn tục	() xem tham ăn.
ăn tục nói phét	() to talk through one's hat.
ăn tươi nuốt sống	() to make mincemeat out of somebody.
ăn tươi nuốt sống	() to wipe the floor with somebody.
ăn uống	() to eat and drink.
ăn uống	() to give feasts.
ăn uống	() to entertain lavishly.
ăn uống điều độ	(dtừ) abstinency, temperance.
ăn uống điều độ	(ttừ) abstinent.
ăn uống khó tính	(thngữ) to be born with a dainty tooth.
ăn uống khỏe	(ttừ) hearty.
ăn uống lu bù	(dtừ) spree.
ăn uống nghỉ ngơi cho khỏe lại	(nđtừ) refresh.
ăn uống ngon lành	(ttừ) hearty.
ăn uống nhiều quá	(dtừ) surfeit.
ăn uống no say	(nđtừ) carouse.
ăn uống quá độ	(dtừ) excess.
ăn uống quá độ	(đtừ) exceed.
ăn uống sang trọng xa hoa	(thngữ) good living.
ăn uống say sưa	(nđtừ) revel.
ăn uống sung sướng	(thngữ) to live like fighting-cock.
ăn uống tham lam	(đtừ) guzzle.
ăn uống tham lam	(nđtừ) guttle.
ăn uống thô tục như lợn	(thngữ) to make a pig of oneself.
ăn uống thừa mứa	(dtừ) glut.
ăn uống tục	(đtừ) guzzle.
ăn uống vui vẻ	(dtừ) conviviality.
ăn vào	(ttừ) chargeable.
ăn vào bụng	(dtừ) ingestion.
ăn vào bụng	(ngđtừ) ingest.
ăn vào bụng	(ttừ) ingestible, ingestive.
ăn vào tận xương tủy	(thngữ) to bred in the bones.
ăn vã	() to eat (meat, fish ...) without rice or bread.
ăn vạ	() as a protest.
ăn vặt	() to eat between meals.
ăn vặt	() to nosh.
ăn vận	() xem ăn mặc.
ăn về	() depend, belong to.
ăn vội	() to snatch a hasty meal.
ăn vội	() to bolt one's meal.
ăn vội vàng	(đtừ) stoke.
ăn vụng	() to eat on the sly.
ăn vụng ngon miệng	() stolen kisses are sweet.
ăn vụng ngon miệng	() stolen fruit is sweetest.
ăn xác chết	(ttừ) necrophagous.
ăn xài	() to spend money (profusely).
ăn xén	(đtừ) to graft.
ăn xế	() afternoon snack (for children).
ăn xế	() to have/take an afternoon snack.
ăn xin	() to solicit.
ăn xin	() to beg.
ăn xin	() to panhandle.
ăn xổi	(đtừ) to eat (consume) prematurely.
ăn xổi	(đtừ) to be impatient for result.
ăn xổi ở thì	() to live from hand to mouth/by makeshifts.
ăn yến	() to attend a banquet given by the king.
ăn ý	() to be in agreement/harmony with each other/one another.
ăn ý	() to sympathize with each other/one another.
ăn ý	() to be in cahoots with each other/one another.
ăn ý	() in perfect teamwork.
ăn ý nhau	(dtừ) congeniality.
ăn ý nhau	(thngữ) to belong together.
ăn ý nhau	(ttừ) congenial.
ăn ý với đồng bọn	(thngữ) to shake down.
ăn ý với nhau	(nđtừ) hitch.
ăn ý với nhau	(thngữ) to pull together, to hit it off together.
ăng-lô-xắc-xông	(ttừ) anglo-saxon.
ăng ẳng	() to yap.
ăng co	() angkor.
ăng kết	() investigation.
ăng kết	() inquiry.
ăng lê	() xem anh 1.
ăng ten	() aerial.
ăng ten	() antenna.
ăngxtrom	() angstrom.
ắc	() full, brim-full, full up.
ắc đến cổ	() gorged, full up to here.
ắc qui	() battery.
ắc quy	(dtừ) battery, form.
ắng	(đtừ) to fall into silence.
ắng cổ	() keep silent (because of no knowing how to answer back).
ắng họng	(đtừ) to remain silent, to be silenced.
ắng họng	(đtừ) speechless.
ắng họng	(đtừ) be unable to answer a point.
ắng lặng	() hold one's tongue, be silent.
ắng tin	() no news, gone without leaving a trace.
ắp	(ttừ) full to the brim, brimful, brimfull.
ắp	(ttừ) chock-full.
ắt	(phó từ) surely, certainly.
ắt	(phó từ) (ắt hẳn, ắt là).
ắt hẳn	() certainly, surely.
ắt là	() certainly, surely.
ắt phải	() inevitably, undoubtedly.
ắt thật	() certainly, undoubtedly.
ẳng	() to yelp.
ẳng ẳng	(đtừ) (of a dog) to yap.
ẳng ẳng	(đtừ) to yelp.
ẵm	() to carry a baby in one's arms.
ẵm ngửa	() to carry a baby on its back.
âm	() yin (opposite to yang).
âm	() sound.
âm	() negative.
âm	() lunar.
âm	() female.
âm	() minus.
âm áp chót	(dtừ) penult.
âm át	(dtừ) dominant.
âm át dưới	(dtừ) subdominant.
âm át trên	(dtừ) superdominant.
âm âm	() (of weather) mild.
âm ấm	(ttừ) tepid, lukewarm, warmish.
âm ẩm	() dampish, humid.
âm ba	() xem sóng âm thanh.
âm bản	() negative proof.
âm bản	() negative.
âm bật	(dtừ) plosive.
âm bật hơi	() plosive (consonant), aspirate, explosive.
âm binh	(dtừ) ghost soldier.
âm bội	(dtừ) overtone.
âm cách	() measure.
âm chêm	(ttừ) epenthetic.
âm chính thanh	() sonant.
âm chuẩn	(dtừ) intonation.
âm chuẩn	(ttừ) intonational.
âm chủ	(đtừ) tonic.
âm chủ	(ttừ) tonic.
âm chủ đạo	(dtừ) keynote.
âm chủ trên	(dtừ) supertonic.
âm công	() secret merit.
âm cộng	(dtừ) additional sound.
âm cộng thanh	() consonant.
âm cung	() như âm phủ.
âm cuống lưỡi	(dtừ) velar sound.
âm cực	(dtừ) cathode.
âm cực nguội	(dtừ) cold cathode.
âm cực phát xa	() emitter, cathode.
âm dung	() voice and countenance.
âm dung	() acoustic capacity.
âm dương	() yin and yang (two complementary principles of chinese philosophy yin is negative, dark and feminine, while yang is positive, bright and masculine their interaction is thought to maintain the harmony of the universe and to influence everything in it).
âm dương	() female and male.
âm dương	() negative and positive.
âm dương	() dead and living.
âm dương	() darkness and light.
âm dương	() moon and the sun.
âm dương thạch	(dtừ) magnetic stones.
âm dương thủy	() mixed boiling and cold water.
âm đạo	(dtừ) vagina.
âm đạo	(dtừ) ductus vaginalis.
âm đạo bàng quang	(dtừ) vagino vesical.
âm đạo kế	(dtừ) vaginometer.
âm đạo màng bụng	(dtừ) vaginoperitoneal.
âm đạo viêm	() vaginitis.
âm đầu lưỡi	(dtừ) apical.
âm điện	(dtừ) negative electric pole.
âm điệu	() tune.
âm điệu	() melody.
âm điệu	() strain.
âm điệu du dương	(dtừ) melody.
âm địa	() secretly, by stealth.
âm đoạn	(dtừ) syntagm.
âm độ	(dtừ) pitch.
âm đức	(dtừ) unostentatious virtue.
âm giai	(dtừ) musical scale.
âm gian	(dtừ) hell.
âm giáp cuối	(dtừ) penult.
âm giải	(dtừ) musical scale.
âm gió	(dtừ) spirant.
âm gốc	(dtừ) fundamental tone.
âm h	(dtừ) aspirate.
âm hai môi	(dtừ) bilabial.
âm hao	() news, tidings.
âm hài	(dtừ) musical accord.
âm hành	(dtừ) penis.
âm hạch	(dtừ) (anat) clitoris.
âm hiểm	(ttừ) insiduous, perfidious, crafty.
âm học	() acoustics.
âm hồn	(dtừ) soul (of dead person), wraith, manes.
âm hồn	(dtừ) the spirit of the deceased.
âm hồn	(dtừ) vulva.
âm hồn	(dtừ) pudenda.
âm hộ	(dtừ) vulva.
âm hưởng	(dtừ) sonority.
âm hưởng	(dtừ) harmony.
âm hưởng	(dtừ) echo.
âm hưởng	(dtừ) accord consonance.
âm hưởng học	(dtừ) acoustics.
âm hưởng xấu	(dtừ) cacophony.
âm ỉ	(ttừ) smouldering, dull and lasting.
âm ỉ	(đtừ) to smoulder.
âm kêu	(dtừ) voice.
âm kế	(dtừ) secret plot.
âm kế	(dtừ) sound meter.
âm khe răng	() (ling) dentilingual.
âm khép	(dtừ) implosive.
âm khí	(dtừ) miasmatic atmosphere, cold darkness, gloom.
âm không kêu	(dtừ) surd.
