pa-tê	(dtừ) terrine.
phi pháp	() illegal.
phi pháp	() illicit.
phi phàm	() (ít dùng) extraordinary, superhuman, unusual, uncommon.
phi quân sự	() demilitarized, demilitarize, demilitarization.
phi quân sự hóa	() demilitarize.
phi sản xuất	() non-production.
phi sinh vật học	(ttừ) abiological.
phi tang	() destroy the evidence, destroy the traces of crime.
phi tác	() air mission.
phi tần	() royal concubines, imperial concubines.
phi tập trung hóa	() decentralized.
phi thân	() rush, dash, dart, make a run/rush.
phi thân	() fly.
phi thời gian	() (triết học) non-temporel.
phi thuyền	() spacecraft.
phi thuyền	() spaceship.
phi thuyền con thoi	() space shuttle.
phi thương bất phú	() one cannot get rich without engaging in trade.
phi thường	() extraordinary.
phi thường	() exceptional.
phi thường	() singular.
phi thường	() remarkable.
phi thường hóa	(ngđtừ) phenomenalize.
phi thử	() (animal) bat.
phi thực dân hóa	() decolonize.
phi thực tại	() unreal.
phi tiêu	() dart.
phi tôn giáo	() nonreligious.
phi tôn giáo hóa nhà trường	(dtừ) secularization.
phi trình	() air route.
phi trọng lượng	() weightless.
phi trường	() airdrome.
phi trường	() airfield.
phi trường	() airport.
phi trường dân sự	() civil airport.
phi trường quân sự	() military airfield.
phi tuần	() patrol plane.
phi tuyến tính	() nonlinear.
phi vật chất	() immaterial.
phi vật chất hóa	(ngđtừ) immaterialise.
phi vật chất luận	() immaterialism.
phi vô sản	() non-proletarian.
phi vô sản hóa	() deproletarize.
phi vụ	() sortie.
phi vụ	() mission.
phi xã hội	() asocial.
phi xã hội chủ nghĩa	() non-socialist.
phi xuất	() air sorties.
phi yến thảo	() delphinium.
phiêm âm ngữ âm học	(ngđtừ) phoneticize.
phiên	() move.
phiên	() turn.
phiên âm	() to represent by phonetic symbols.
phiên âm	() to transcribe phonetically.
phiên bang	() foreign countries.
phiên bản	() version.
phiên bản	() reproduction.
phiên bản phần mềm	() software version.
phiên canh	() watch.
phiên cấp cán bộ	() alternate level/rank of cadre.
phiên chầu	() audience (of an emperor).
phiên chế	() (quân đội) to organize.
phiên chiều	() afternoon shift.
phiên chính	() main schedule.
phiên chợ	() market-day.
phiên chúa	() (sử học) vassal prince.
phiên chức	() rotation of function/position.
phiên công tác	() tour of duty.
phiên dịch	() to translate.
phiên gác	() sentry duty.
phiên gác buổi sáng	(dtừ) morning watch.
phiên gác đêm	(dtừ) night-watch.
phiên gác lúc tàu thả neo đậu lại	(dtừ) anchor-watch.
phiên hiệu	() (quân cũ) number (of a unit).
phiên hiệu	() designation (of a unit).
phiên họp	() meeting.
phiên họp	() session.
phiên họp của hội đồng tăng lữ	(dtừ) sederunt.
phiên họp để thông qua	(dtừ) reading.
phiên họp riêng	(dtừ) caucus.
phiên họp toàn thể	(dtừ) plenum.
phiên làm	(dtừ) duty.
phiên làm việc ở buồng lái	(dtừ) trick.
phiên ly	() bamboo fence.
phiên ly	() barrier.
phiên nhóm	() session, meeting.
phiên phiến	() cursory, somewhat quicket, careless, negligent, slipshod, not too particular.
phiên quốc	() (sử học) vassal state.
phiên quốc	() non-chinese state.
phiên thần	() (sử học) vassal.
phiên thuộc	() (sử học) vassal state.
phiên tòa	(dtừ) session, court.
phiên tòa	(dtừ) trial.
phiên tòa	(dtừ) hearing.
phiên tòa chiếu lệ	(thngữ) kangaroo court.
phiên tòa đại hình	(dtừ) oyer.
phiên tòa họp hàng quý	(dtừ) quarter sessions.
phiên tòa quân sự	(dtừ) court martial.
phiên trấn	() (sử học) border territory.
phiên trấn của hầu tước	(dtừ) marquisate.
phiên trực	() spell of duty.
phiên trực	() tour of duty.
phiên trực nhật	(dtừ) duty.
phiên xử	() hearing.
phiên xử	() trial.
phiêu bạt	() wander, drift away, live a vagabond life, knock about the word.
phiêu bạt giang hồ	() roam the world.
phiêu diêu	() (văn chương) float (in the dreamland... ).
phiêu diêu	() drift away.
phiêu du	() drift away.
phiêu du	() knock about the world.
phiêu đãng	() live a vagabond life, be a tramp.
phiêu lãng	() (từ cũ) drift about.
phiêu linh	() adventuresome.
phiêu linh	() wander.
phiêu linh	() drift.
phiêu lưu	() to venture.
phiêu lưu	() chancy.
phiêu lưu	() risky.
phiêu lưu	() hazardous.
phiêu lưu	() adventurous.
phiêu lưu mạo hiểm	() xem phiêu lưu 2.
phiêu lưu vô định	() to wander aimlessly.
phiêu phiêu	(ttừ) psychedelic.
phiêu sinh vật	() plankton.
phiêu vật	() wreck.
phiêu vật	() derelict.
phiêu vật	() flotsam.
phiếm	() idle, unrealistic, aimless, futile, friyolous.
phiếm	() (ngôn ngữ) indefinite.
phiếm ái	() philanthropic.
phiếm ái	() universal charity.
phiếm chỉ	() refer in a general way to.
phiếm chỉ	() indeterminate, not fixed, indefinite.
phiếm du	(dtừ) ramble, roam, wander.
phiếm đàm	() idle talk.
phiếm định	() (vật lý) indifferent, neutral.
phiếm định	() (physics) astatic.
phiếm lôgic	(ttừ) panlogistic.
phiếm luận	(đtừ) to expatiate, idle talk, idle discussion.
phiếm thần	() pantheist.
phiếm thời	() panchronic.
phiến	(dtừ) slab (of stone, etc...).
phiến	(dtừ) small plank/board.
phiến cách chữ	(dtừ) space.
phiến cánh hoa	(dtừ) limb.
phiến diện	() unilateral, one-sided.
phiến đá	() flagstone.
phiến đá	() block of marble.
phiến đá lát đường	(dtừ) flagstone, flag.
phiến đá lát lề đường	(dtừ) kerb-stone.
phiến đá mỏng	(dtừ) slab, planch.
phiến đá nằm suốt chiều dày của tường	(dtừ) parpen.
phiến đá ở trước cửa	(dtừ) door-stone.
phiến đá phẳng	(dtừ) ledger.
phiến động	() instigate to, violence, stir to violence, incite to, set on.
phiến gỗ	() a plank of wood.
phiến gỗ để phá thành	(dtừ) battering-ram.
phiến gỗ ép	(dtừ) hard board.
phiến kim loại mỏng	(dtừ) planch.
phiến lá	(dtừ) limb, leaf-blade.
phiến lá đài	(dtừ) limb.
phiến loạn	() rebel.
phiến loạn	() insurgent.
phiến loạn	() mutineer.
phiến mỏng	(dtừ) lamina, lamella.
phiến nghịch	() rebellion, revolt.
phiến nham	() schist.
phiến phiến	() quickly, without paying much to formalities.
phiến quân	() insurgent, rebels.
phiến sét	() (đá) shale, batt.
phiến than	() (đá) ampelite.
phiến thạch	() địa lý schist.
phiến thổ	() piece of land.
phiết	() xem phết.
phiếu	() receipt.
phiếu	() voucher.
phiếu	() slip.
phiếu	() coupon.
phiếu	() note.
phiếu	() ticket.
phiếu	() xem lá phiếu.
phiếu	() to bleach.
phiếu ăn	() meal ticket.
phiếu ăn	() luncheon voucher.
phiếu báo danh	() admission form.
phiếu bầu	() xem lá phiếu.
phiếu bầu từ nước ngoài	() overseas vote.
phiếu cầm đồ	() pawn-ticket.
phiếu chống	() no.
phiếu công trái	() government bonds.
phiếu công trái	() government securities.
phiếu cổ tức	() dividend-warrant.
phiếu đăng ký	() registration form.
phiếu đen	(dtừ) blackball.
phiếu điểm	() score-card.
phiếu điểm	() score-sheet.
phiếu điểm	() xem thành tích biểu.
phiếu đồng ý	(dtừ) ay.
phiếu đục lỗ	() punched card.
phiếu đục lỗ	() punch card.
phiếu ghi	(dtừ) tickler.
phiếu ghi điểm	(dtừ) score card.
phiếu giao hàng	() delivery note.
phiếu giảm giá	() discount coupon/voucher.
phiếu gửi	(dtừ) dispatch-note.
phiếu gửi tiền	(dtừ) money-order.
phiếu gửi tiền qua bưu điện	(dtừ) mo.
phiếu hành lý	() luggage ticket.
phiếu hành lý	() baggage check.
phiếu hối đoái	(dtừ) letter of exchange.
phiếu hồi báo	() reply coupon.
phiếu làm mục lục	(dtừ) index card.
phiếu liệt kê hàng gửi đi	() packing-list.
phiếu liệt kê hàng gửi đi	() consignment note.
phiếu lĩnh tiền	() postal order.
phiếu lĩnh tiền	() money order.
phiếu lĩnh tiền lãi cổ phần	(dtừ) dividend-warrant.
phiếu lương	() pay-slip.
phiếu mẫu	() washerwoman.
phiếu mẫu	() washwoman.
phiếu mua sách	() book token.
phiếu nhận xét	() comment card.
phiếu nợ	(dtừ) bond.
phiếu phạt đỗ xe	() parking-ticket.
phiếu tham dự	() entry form.
phiếu thành tích học tập	(dtừ) report, report card.
phiếu thăm dò	() questionnaire.
phiếu thuận	() yes.
phiếu thuận	() ay.
phiếu tính tiền	(dtừ) shot.
phiếu trắng	() blank vote.
phiếu trắng	() abstention.
phiếu vận tải	(dtừ) transportation.
phiếu xuất	() tally-out.
phiền	(đtừ) to annoy, to bother, to disturb.
phiền	(đtừ) be sad.
phiền	(đtừ) be melacholy.
phiền	(đtừ) grieve.
phiền	(đtừ) grievous.
phiền	(đtừ) complicated, complex.
phiền	(đtừ) may i trouble....
phiền hà	() xem phiền toái.
phiền hà nhỏ	(dtừ) flea-bite.
phiền lòng	(đtừ) to worry.
phiền lòng	(đtừ) pain, grieve, be pained/annoyed, grieve.
phiền lụy	() inconvenience.
phiền lụy	() trouble.
phiền lụy	() uneasy.
phiền lụy	() anxious.
phiền lụy	() unquiet.
phiền muộn	(ttừ) cũng như phiền não.
phiền muộn	(ttừ) sad, sorrowful, sadden, grieve, be sad, aggrieved, worried and anxious, harassed, grieve, grief, sorrow.
phiền não	() to be broken-hearted, to have a broken heart, to eat the bread of affliction, to have one's heart in one's boots.
phiền nhiễu	(đtừ) to importune.
phiền nhiễu	(đtừ) bother (with), pester (with), plague (with), importune (with).
phiền phức	(ttừ) xem phiền toái.
phiền quá	(thngữ) oh, bother!.
phiền toái	() inconvenient.
phiền toái	() annoying.
phiền toái	() troublesome.
phiền toái	() burdensome.
phiền toái	() worrisome.
phiền toái	() tiresome.
phiện	(dtừ) opiumhút thuốc phiện.
phiện	(dtừ) to smoke opium.
phiệt	() slant stroke to the left (in writing chinese charaters).
phiệt duyệt	() great family, noble family, family of a mandarin.
phim	() đùa cợt.
phim	() crib.
phim	() pony.
phim	() cheat sheet.
phim	() film.
phim	() picture.
phim	() movie.
phim an toàn	(dtừ) safety film.
phim ảnh	() (nói chung) films.
phim ảnh	() movies.
phim ăn khách	() blockbuster.
phim bộ	() xem phim nhiều tập.
phim buồn	() sad film/movie.
phim búp bê	() puppetoon.
phim cao bồi	() cowboy movie.
phim câm	() silent film.
phim câm	() silent movie.
phim cấm chiếu	() banned film/movie.
phim chiến tranh	() war movie/film.
phim chiếu bóng	(dtừ) celluloid, cine-film, flick, cinema.
phim chiếu chậm	() slow-motion film.
phim chính	(dtừ) super.
phim chụp x quang	() x-ray film.
phim chụp x quang	() radiographic film.
phim con heo	() xem phim khiêu dâm.
phim dành cho người lớn	() adult/x-rated movie.
phim dành cho người lớn	() pg movie.
phim dành cho người lớn	() nc- 17 movie.
phim đa sầu	(dtừ) tear-jerker.
phim đen trắng	() black and white film.
phim đèn chiếu	() film-strip.
phim điện ảnh	(dtừ) motion picture, moving picture.
phim gia đình	() family film.
phim gia đình	() home movie.
phim gốc	() master film.
phim hài	() funny film/movie.
phim hành động	() action film.
phim hành động	() action movie.
phim hình sự	() crime movie.
phim hình sự	() crime movie.
phim hoạt hình	() animated film.
phim hoạt hình	() cartoon.
phim hoạt họa	(dtừ) animated cartoon.
phim hô-li-út	(dtừ) hollywood.
phim khiêu dâm	() filthy/pornographic/sexy film.
phim khiêu dâm	() skin-flick.
phim khiêu dâm	() video nasty.
phim khoa học	() scientific and educational film.
phim khoa học	() instructional film.
phim khoa học viễn tưởng	() science-fiction film/movie.
phim kiếm hiệp	() swashbuckling film.
phim kinh dị	() horror film/movie.
phim kinh dị	() spine-chiller.
phim làm ẩu	(dtừ) quickie.
phim lịch sử	() historical film.
phim lồng tiếng	() dubbed film.
phim ma	() ghost film.
phim màu	() colour film.
phim mạo hiểm	() adventure film.
phim ngắn	(dtừ) short subject.
phim nghệ thuật	() art film.
phim nhà nghèo	() như phim khiêu dâm.
phim nhạy sáng	() sensitive film.
phim nhiều tập	() serial.
phim nhựa	() celluloid film.
phim nói	() sound-film.
phim nói	() talking-picture.
phim nói	() talkie.
phim nổi	() stereoscopic film.
phim nổi	() three-dimensional movie.
phim nổi	() 3-d movie.
phim phụ	(dtừ) supporting film.
phim phụ chiếu kèm với phim chính	(dtừ) short subject.
phim phụ đề	() subtitled film.
phim quảng cáo	() advertising film/movie.
phim răng	() dental plaque.
phim rơngen	(dtừ) radiogram.
phim sách	(dtừ) bibliofilm.
phim tài liệu	() documentary film.
phim tài liệu	() documentary.
phim tâm lý xã hội	() psychological film.
phim thám hiểm	() adventure film.
phim thám hiểm	() travelogue.
phim thời sự	() news-film.
phim thời sự	() newsreel.
phim thương mại	() commercial film.
phim tình cảm	() romantic film.
phim trinh thám	() detective/cloak-and-dagger film.
phim trinh thám	() whodunit.
phim trong	() (kỹ thuật) transparency.
phim truyền hình	() tv film/movie.
phim truyền hình	() telefilm.
phim truyện	() feature film.
phim truyện dài	(dtừ) epic.
phim trường	() film studio.
phim tuyên truyền	() propaganda film.
phim viđêô	() video film.
phim viđêô đen	() video nasty.
phim viđêô đen	() skin-flick.
phim võ thuật	() martial-arts film/movie.
phim vui	() funny film/movie.
phim xi-nê	(dtừ) silver screen.
phim xi nê	(dtừ) cine-film, picture, picture show, film, movie.
phin	() batiste.
phin	() thread.
phin	() xem phin cà phê.
phin cà phê	() coffee filter.
phin nõn	(dtừ) batiste.
phinh phính	() xem phính (láy).
phí	() to waste.
phí	() to squander.
phí	() cost.
phí	() fees.
phí	() charges.
phí	() rates.
phí bảo hiểm	() insurance premium.
phí bảo hiểm phụ	() extra premium.
phí bảo hiểm tàu	() hull premium.
phí cầu đường	() xem lệ phí cầu đường.
phí chèn lót	() dunnage charge.
phí chiết khấu	() discount charge.
phí chuyên chở	() tonnage.
phí chuyên chở	() haulage.
phí chuyên chở	() transport charges/costs.
phí chuyên chở	() freight rates.
phí chuyên chở	() freight.
phí chuyên chở	() carriage.
phí công chứng	() stamp-duty.
phí công vô ích	() to flog a dead horse.
phí công vô ích	() to gild the lily.
phí công vô ích	() it is no use crying over spilt milk.
phí của trời mười đời chẳng có	() xem không phung phí thì không túng thiếu.
phí dắt tàu	() pilotage.
phí dắt tàu	() towage.
phí dụng	() expenses.
phí đào tạo	() training fee.
phí đậu tàu	() berth charges.
phí điều trị	() treatment fee.
phí điểm	() boiling point.
phí đời	() to waste one's life.
phí hoài	() waste, wasted.
phí học tập	() tuition fee.
phí khoản	() expenditure.
phí lời	() to waste one's words.
phí lời	() to waste one's breath.
phí lưu kho	(dtừ) storage.
phí người	() waste people.
phí phạm	(đtừ) to waste, to squander exceptional.
phí phạm	(đtừ) squander, dissipate, waste.
phí phục vụ	() service charge.
phí sức	() to burn the candle at both ends.
phí sức	() to waste one's energy.
phí sức	() to overexert oneself.
phí thật	() what a waste!.
phí thời giờ	() to waste one's time.
phí thời giờ	() to squander one's time.
phí thủ tục ký hậu	() endorsement commission.
phí tiền	() to squander one's money.
phí tiền	() to waste one's money.
phí tín dụng	() cost of credit.
phí tổn	(dtừ) charge, cost, expenses.
phí tổn	(dtừ) free of charge.
phí tổn bảo dưỡng	(dtừ) upkeep.
phí tổn bảo quản trong thùng	(dtừ) tankage.
phí tổn chế tạo	() manufacturing cost.
phí tổn đầu tư	() investment expenditure.
phí tổn điều trị	() the cost of the treatment involved.
phí tổn sửa chữa	() repair costs, the cost of the repair.
phí tổn sửa sang	(dtừ) upkeep.
phí tổn vận tải	() như phí chuyên chở.
phí vận chuyển	() xem phí chuyên chở.
phía	(dtừ) side, way, direction.
phía bạn	() friendly side.
phía bắc	() the north.
phía bên	() lateral.
phía bỏ ngỏ	(dtừ) open end.
phía dưới	() underneath, below.
phía dưới gió	(dtừ) leeward.
phía dưới gió	(phó từ, ttừ) alee.
phía địch	() enemy side.
phía đông	(dtừ) e.
phía đông bắc	(dtừ) north-east.
phía đông nam	(dtừ) south-east.
phía đùi kẹp vào mình ngựa	(dtừ) twister.
phía gió thổi	(dtừ) wind.
phía không giới hạn	(dtừ) open end.
phía nam	(dtừ) south.
phía ngoài màn	(dtừ) proscenium.
phía ngoài sân khấu	(dtừ) off-stage.
phía sau	() rearwards.
phía sau cùng	(dtừ) arrear.
phía tay phải	(dtừ) right.
phía tay trái	() left-hand side.
phía tây	(dtừ) west.
phía tây	(ttừ) western.
phía tây bắc	(dtừ) north-west.
phía tây nam	(dtừ) south-west.
phía trên	() front, top, above.
phía trong	() inside.
phía trong ra ngoài	(thngữ) inside out.
phía trước	() front.
phía trước	() ahead.
phía trước đáy tàu	(dtừ) forefoot.
phía trước móng sắt ngựa	(đtừ) toe.
phía trước sân khấu	(dtừ) proscenium.
phía xa	(dtừ) distance.
phích	(dtừ) xem bình thuỷ.
phích	(dtừ) library card (registration).
phích	(dtừ) electric plug.
phích cắm	(ttừ) male.
phích cắm điện	() male plug.
phích nước	(dtừ) xem bình thuỷ.
phích nước đá	() ice bucket.
phím	() key.
phím chức năng	() (tin học) function key.
phím dữ liệu	() (tin học) data key.
phím đàn	() fret.
phím đàn pianô	(dtừ) ivory.
phím loan	() (thi ca) tune.
phím loan	() melody.
phím nóng	() hot key.
phím số	() number key.
phính	() plump.
phính	() (of cheeks) fat and round.
phính	() bull faced (bun-faced).
phính	() fat-faced.
phính	() cũng như phinh phính (láy, ý giảm).
phít	() plug.
phít	() (hàng không) feet.
phít cắm	(dtừ) plug.
phì	() blow, send out, let out, puff out, go forth.
phì	() fat, plump.
phì	() put on mush flesh.
phì cười	() burst out laughing.
phì hơi	() air let out with a whistling sound.
phì hơi	() boil, seethe.
phì liệu	() fertilizer.
phì mỹ	() well-fed, fattened, well-nourished.
phì nhiêu	(ttừ) rich, fat, fertile, fecund.
phì nộn	() fat, corpulent, plump, obese, stout.
phì phà	() như phì phèo.
phì phà phì phò	() breathe audibly.
phì phèo	() cũng như phì phà.
phì phèo	() puff at, huff and puff, inhale and exhale.
phì phì	() splash (on), sprinkle (with), spurt.
phì phị	() stout, fat, corpulent.
phì phò	() be short of, out of breath, puff and pant.
phì sinh dục	() adiposo - genital.
phì tượng	() elephantiasis.
phìa	() (từ cũ) thai canton headman.
phìa tạo	() ruling clique (in thai nationality).
phình	() fill out, belly (out), swell out.
phình	() distend/swell from absorbed moisture.
phình	() (fig) grow excessively/immoderately.
phình bụng	() blow out one's belly.
phình động mạch	() arterial aneurism.
phình động mạch	() arteriectasia.
phình động mạch chủ	() aortic aneurism.
phình động tĩnh mạch	() arteriovenous aneurism.
phình lên	(ttừ) bulgy, bulging.
phình mạch	() (med)(chứng) aneurism.
phình mạch giang mai	() syphilitic aneurism.
phình mạch giả	() false aneurism.
phình mạch lồi	() hernial aneurism.
phình phình	() xem phình phịch.
phình phình	() strum.
phình phĩnh	() swollen, puffy.
phình phịch	() cũng như phình phình.
phình phịch	() (onomatopoeia of the sound of drum).
phình ra	(dtừ) dropsy.
phình ra	(ngđtừ) plim.
phình ra	(nđtừ) balloon, bilge, plim.
phình ra	(ttừ) flown, swollen.
phình ra quá	(ttừ) overswollen.
phình to	(dtừ) aneurism.
phỉ	() bandit, robber, brigant.
phỉ	() spit spit at.
phỉ	() do something to one's heart's content.
phỉ	() be fully/completely satisfied, obtain complete satisfaction.
phỉ	() reprove, rebuke, abuse.
phỉ báng	() to defame.
phỉ báng	() to libel.
phỉ bạc	() scanty, poorest.
phỉ chí	() cũng như phỉ dạ, phỉ lòng, phỉ sức.
phỉ chí	() be fully/completely satified, obtain complete satisfaction.
phỉ dạ	() xem phỉ chí.
phỉ dạ	() to one's heart's content.
phỉ hổ	() shame, put to shame.
phỉ lòng	() như phỉ chí.
phỉ nguyền	() fulfil one's wishes, realize one's aspirations.
phỉ nguyền	() satisfied.
phỉ nguyền	() attain full and complete satisfaction.
phỉ nguyện	() be content.
phỉ nhổ	() spit at, spit up, spit upon.
phỉ nhổ	() despise, hold in contempt, disdain.
phỉ phong	((từ cũ, văn chương) shabby gentility) of hard conditions.
phỉ sức	() xem phỉ chí.
phỉ sức	() to the capability of one's strength.
phỉ thui	() (sang) spit on it! rotten!.
phỉ trắc	() treacherous.
phỉnh	() cũng như phỉnh nịnh.
phỉnh	() blandish.
phỉnh	() coax.
phỉnh	() flatter, adulate.
phỉnh	() swindle.
phỉnh ai	(thngữ) to take (get) a rise out of a somebody.
phỉnh chơi	(dtừ) mystification.
phỉnh chơi	(ngđtừ) mystify.
phỉnh gạt	(đtừ) to cheat, to deceive, to dupe.
phỉnh lừa	() swindle.
phỉnh mũi	() feel flattered.
phỉnh mũi	() feel very much flattered (to such an extent as to make one's nostrils dilate).
phỉnh nịnh	() xem phỉnh.
phỉnh nịnh	() toady (to somebody).
phỉnh phờ	() coax.
phỉnh phờ	() dupe, swindle, lead into error, delude.
phỉnh phờ	() flatter, adulate.
phĩnh	() bloated, oedematous.
phĩnh	() fill out, belly (out), swell out.
phĩnh bụng	() have a belly swollen (with food... ).
phị	() be bloated.
phị	() stout, fat, corpulent.
phị	() sulky, disatisfied, discontended, displeased.
phịa	(khẩu ngữ) như bịa.
phịch	(ttừ) thud.
phịu	() long (face).
phịu	() dissatisfied, discontented, displeased, sulky.
pho	() set.
pho	() unit....
pho	() (classifier for statues, volumes) complete set.
pho mát	() như phó mát.
pho tượng	(dtừ) statude.
phoi	() shavings.
phoi bào	(dtừ) swarf.
phoi gang	() iron/metal shavings.
phoi tiện	() shavings (wood or metal).
phom	() from (for shoe-making...).
phong	(dtừ) package, pareel, bundle.
phong	(dtừ) wrap.
phong	(dtừ) (medical) leprosy.
phong	(dtừ) (classifier for letters)(phong thư).
phong	(dtừ) (of king) confer, bestow (title, fief), enfief.
phong	(dtừ) appoint, nominate.
phong	(dtừ) maple (cây phong).
phong ba	() storm, tempest, (fig) the vicissitudes of life, the reverses/tricks of fortune, the ups and downs.
phong ba	() (ít dùng) storm of anger.
phong ba bão táp	() tempest, typhoon, storm, the viciscitudes of life.
phong bao	() make a gift of money wrapped in a parcel (to children on new year's day...).
phong bao	() tip, give a tip.
phong bế	() (ít dùng) blockade, block.
phong bì	() envelope.
phong bì có cửa sổ giấy bóng	(dtừ) window envelope.
phong bì tiền lương	(dtừ) pay-envelope.
phong cách	(dtừ) manners.
phong cách	(dtừ) carriage.
phong cách	(dtừ) bearing.
phong cách	(dtừ) style.
phong cách	(dtừ) method.
phong cách a-ten	(dtừ) atticism.
phong cách ai-len	(dtừ) irishism.
phong cách hiệp sĩ	(dtừ) chivalry.
phong cách hoặc kỹ thuật xuất sắc	(dtừ) bravura.
phong cách hoặc xu hướng mới nhất	(thngữ) (be) all the fashion/rage.
phong cách học	() stylistics.
phong cách kịch	(dtừ) theatricalism.
phong cách lịch sự	(dtừ) urbanity.
phong cách nghệ thuật cổ	(dtừ) antique.
phong cách ngôn ngữ la-tinh	(dtừ) latinity.
phong cách nhà giáo	(ttừ) didactic.
phong cách nước ngoài	(dtừ) foreignism.
phong cách phương đông	(dtừ) orientalism.
phong cách riêng	() idiosyncrasy.
phong cách tao nhã	(dtừ) urbanity.
phong cách viết văn	(dtừ) penmanship.
phong cách xê-mít	(dtừ) semitism.
phong cách ý	(dtừ) italianism.
phong cảnh	() landscape.
phong cảnh	() sight.
phong cảnh	() view.
phong cảnh	() scenery.
phong cấp	() bestow (a rank or title).
phong cầm	() (âm nhạc) accordion.
phong cho cái tên	(ngđtừ) dub.
phong chức	() appoint, nominate, ordain.
phong cốt	() air, manners.
phong cùi	() leprosy.
phong cương	() border, frontier.
phong dao	(dtừ) folk-song.
phong doanh	() abundance, plenty.
phong đăng	() good harvest.
phong điệu	() manner.
phong điệu	() style.
phong địa	() (từ cũ) fief, feoff.
phong độ	((từ cũ) manners) smart.
phong độ	((từ cũ) manners) elegant.
phong hàm	() brevet.
phong hàn	() indisposition (due to cold, to bad weather ).
phong hầu	() confer the rank of a marquis.
phong hóa	() manners.
phong hóa	() morals.
phong hóa	() weathered.
phong hóa bại hoại	() corrupted customs.
phong hủi	() leprosy.
phong kế	() wind-gauge.
phong kế	() anemometer.
phong kiến	() feudal.
phong kiến cát cứ	() division into feudal realms.
phong kiến hóa	(dtừ) feudalization.
phong kiến hóa	(ngđtừ) feudalise, feudalize.
phong ký	() anemograph.
phong ký pháp	() anemography.
phong lan	() (thực vật học) orchid.
phong làm	(ngđtừ) enthrone.
phong làm hoàng đế	(dtừ) imperialization.
phong làm hoàng đế	(ngđtừ) imperialize.
phong làm thần	(dtừ) apotheosis.
phong lên	(dtừ) enthronement.
phong lên	(ngđtừ) enthrone.
phong lôi	() towering wrath.
phong lưu	() elegant.
phong lưu	() smart.
phong lưu	() comfortable, well-to-do, prosperous.
phong lưu hơn	(thngữ) to be better off.
phong lữ	() geranium (bot)(hoa phong lữ).
phong lực độ	() wind gauge.
phong lực kế	() anemometer.
phong mạo	() face, physiognomy.
phong mật	() secret.
phong môi	() (thực vật) anemophilous.
phong nghi	() dignity.
phong nguyệt	((từ cũ) pleasure of nature) wind and moon.
phong nguyệt	((từ cũ) pleasure of nature) love.
phong nguyệt	((từ cũ) pleasure of nature) sex life.
phong nhã	(ttừ) elegant, fine, refined, elegant, graceful.
phong nhiên	() fertile.
phong nhụy	() virgin, virginity.
phong phanh	() thinly and inadequately (dressed).
phong phanh	() vaguely, dimly.
phong phanh	() nghe phong phanh.
phong phanh	() there are rumours in the air that.
phong phanh	() be dressed lightly (not warmly enough).
phong phú	() rich.
phong phú	() copious.
phong phú	() abundant.
phong phú	() plentiful.
phong phú	() profound.
phong phú dồi dào	(ttừ) bounteous.
phong phú thêm	(dtừ) enrichment.
phong phú về chi tiết	(dtừ) circumstantiality.
phong phú về hình thức	(ttừ) multiform.
phong quang	((từ cũ) beautiful-looking, endowed with beautiful landscapes) wind and light.
phong quang	((từ cũ) beautiful-looking, endowed with beautiful landscapes) beautiful seenery, clear.
phong sắc	() air.
phong sương	() wind and dew.
phong sương	() hardships of life.
phong sương	() time worn.
phong sương	() the vicissitude of life.
phong sương	() the reverses/tricks of fortune.
phong sương	() the ups and downs.
phong tao	() poetic, elegant.
phong tặng	() grant (somebody, something, something to somebody).
phong tặng	() bestow (something one somebody).
phong tên cho	(dtừ) dubbing.
phong thanh	() by hearsay, rumour has it.
phong thanh	() news.
phong thanh	() tidings.
phong thanh	() wind.
phong thanh	() nghe phong thanh.
phong thanh	() get wind (knowledge) of.
phong thanh	() vague.
phong thái	() (từ cũ) manners and attidutde, carriage, bearing.
phong thái thầy tu	(ttừ) monastic.
phong thánh	() to angelize.
phong thánh	() to beatify.
phong thánh	() to canonize.
phong thánh	() to deify.
phong thành	() aeolian.
phong thấp	() rheumatism.
phong thần	() to angelize.
phong thần	() to beatify.
phong thần	() to canonize.
phong thần	() to deify.
phong thể	() decorum.
phong thiện	() (tế phong thiện) make a sacrifice to the god of wind.
phong thịnh	() prosperity.
phong thổ	() climate, climatic conditions.
phong thổ học	() climatory.
phong thuỷ	() geomancy.
phong thuỷ	() the science of winds and waters.
phong thư	() letter, envelope.
phong tình	() amorous, erotic.
phong tình	() (of diseace) venereal.
phong toả	(đtừ) to besiege.
phong toả	(đtừ) to blockade.
phong toả	(dtừ) blockade, investment.
phong toả	(ngđtừ) blockade, invest.
phong toả kinh tế	() economic blockade.
phong tòng nam tước	(ngđtừ) baronet.
phong tỏa trên giấy tờ	(thngữ) paper blockade.
phong tốc kế	() anemometer.
phong tốc ký	() anemograph.
phong trào	() movement.
phong trào ba đảm	() three-responsibility movement.
phong trào ba nhất	() three-excellence movement.
phong trào bài trừ hàng ngoại	(dtừ) swadeshi.
phong trào bãi nô	() abolitionist movement.
phong trào cách mạng	() revolutionary movement.
phong trào cần vương	() royalist movement.
phong trào chính trị	() political movement.
phong trào chống thuế	(thngữ) civil disobedience.
phong trào công đoàn	() trade-union movement.
phong trào cộng sản quốc tế	() international communist movement.
phong trào dân quyền	(thngữ) civil rights movement.
phong trào dân tộc chủ nghĩa	(dtừ) nationalism.
