ha	() exclamation of joy.
hỉ hả	() như hể hả.
hỉ mũi	() to blow one's nose.
hỉ nộ	() joy and anger.
hỉ nự	(dtừ) happy occasion.
hỉ sắc	() a beaming face.
hỉ sự	() happy incident (usually a wedding ceremony).
hỉ tín	() (từ-nghĩa cổ) happy tidings.
hỉ xả	() merciful.
hỉnh	(đtừ) to turn up.
hĩm	() (thông tục) child's vulva.
hĩm	() little girl, tiny chit.
hịch	(dtừ) proclamation.
ho	() to have a cough.
ho	() to cough.
ho ầm lên để át lời	(thngữ) to cough down.
ho đờm	() to have a loose cough.
ho gà	() (chứng ho gà) whooping-cough.
ho gà	() pertussis.
ho gió	() slight cough caused by a cold.
ho he	() to reveal something.
ho he	() to speak up.
ho hen	() xem ho.
ho húng hắng	() to have a slight cough.
ho húng hắng	() to cough slightly.
ho khan	() to have a dry cough.
ho khù khụ	() to cough hoarsely and repeatedly.
ho khù khụ	() to have a bad cough.
ho khục khặc	(nđtừ) whoop.
ho lao	() xem lao phổi.
ho mà khạc ra	(thngữ) to cough out (up).
ho mọc tóc	() cough in the third month of pregnancy.
ho ra đờm	() to cough up phlegm.
ho ra máu	() to cough up blood.
ho rũ rượi	() to cough into fits.
ho rũ rượi	() to cough convulsively.
ho sặc sụa	() to cough into fits.
ho sặc sụa	() to cough convulsively.
ho sù sụ	() to cough hoarsely and repeatedly.
ho sù sụ	() to have a bad cough.
hoa	() flower.
hoa	() bloom.
hoa	() blossom (hoa bạch trinh biển).
hoa	() capital.
hoa	() chinese.
hoa anh đào	(dtừ) cherry blossom.
hoa báo xuân	(dtừ) primrose.
hoa bào	(dtừ) (bot) calyx, flowercup.
hoa bia	() hop.
hoa bội lan	(dtừ) kind of fragrant flower.
hoa búp	() bud.
hoa bướm	() pansy (hoa bướm bạc phi).
hoa cam	(dtừ) orange-blossom.
hoa cau	() areca spadix.
hoa cái	() (ít dùng) cranium, skull.
hoa cà	() (màu hoa cà) lilac.
hoa cà hoa cải	() fireworks sparkle.
hoa cài ở khuyết áo	(dtừ) buttonhole.
hoa cẩm chướng	() carnation.
hoa cẩm chướng cánh viền	(dtừ) picotee.
hoa chân múa tay	() gesticulate, wave with the hands and dance with the feet.
hoa chuối	() banana inflorescense.
hoa chúc	() flowered candelabrum of the wedding night, marriage (symbol of wedding).
hoa có thời	() hoa co thoi nguoi co lua,everything is good in its season.
hoa cúc	() chrysanthemum, daisy.
hoa cúc dại	(dtừ) daisy.
hoa cương	() granite.
hoa cứt lợn	() ageratum conyzoides.
hoa cứt lợn	() như hoa ngũ sắc, hoa ngũ vị.
hoa dành dành	(dtừ) gardenia.
hoa dạ hương	() night lady, horticulture.
hoa dại	() wild flowers.
hoa dâm bụt	(dtừ) rose-mallow.
hoa diện	() radiant face, beautiful face.
hoa diện	() như hoa dung.
hoa dung	() như hoa diện.
hoa đào	() peach blossom (hoa đào).
hoa đăng	() flower garlands and coloured lanterns (hung in a night festival).
hoa đèn	() wick of an incandescent lamp.
hoa đèn	() lamp-wick.
hoa đồng nội	() country flowers.
hoa đồng tiền	() gerbera.
hoa đỗ quyên	(dtừ) pinkster flower.
hoa đơn	() gladiolus.
hoa giáp	() 60-year cycle.
hoa giáp trúc đào	(dtừ) phlox.
hoa giả	() artificial flower.
hoa giấy	() paper flower.
hoa giấy	() confetti.
hoa giấy xếp	(dtừ) frill.
hoa giọt tuyết	(dtừ) snowdrop.
hoa hậu	() beauty queen.
hoa hậu	() miss.
hoa hiên	(dtừ) day-lityhoa hiên.
hoa hoét	(ttừ) showry.
hoa hoè	() flowery.
hoa hoè	() flamboyant.
hoa hoè hoa sói	(ttừ) viewy, rococo, gaudy.
hoa hồi	() sweet fennel, star aniseed.
hoa hồng	() rose.
hoa hồng	() percentage.
hoa hồng	() commission.
hoa hồng đa-mát	(dtừ) damask.
hoa hồng hoang	() dog-rose.
hoa hồng khống	() dead commission.
hoa hồng môi giới vay tiền	(dtừ) procuration.
hoa hồng nào mà chẳng có gai	() there is no rose without a thorn.
hoa hồng noazet	(dtừ) noisette.
hoa hồng quế	() cinnamon rose.
hoa huệ	() tuberose( hoa huệ, hoa huệ tây).
hoa huệ tây	(dtừ) lily.
hoa huệ tây	(ttừ) liliaceous.
hoa huệ trắng	(dtừ) arum lily.
hoa hướng dương	() sunflower.
hoa irit	(dtừ) fleur-de-lis.
hoa khôi	() beauty queen.
hoa khôi	() belle.
hoa khôi ngày hội tháng năm	(dtừ) may-queen.
hoa khôi ngày hội tháng năm	(thngữ) queen of (the) may.
hoa không nở	(ngđtừ) unflower.
hoa không tàn	() amaranth.
hoa kiều	() overseas chinese.
hoa kiều	() chinese resident (in a foreign country).
hoa kiểm	() beautiful cheeks.
hoa kiểm	() beautiful face.
hoa kiệu	() bride's palanquin.
hoa kim anh	() cây eschscholtzia.
hoa kim ngân	() honeysuckle.
hoa kim tước	() gorse.
hoa kỳ	() uncle sam.
hoa kỳ	() united states (of america ).
hoa kỳ	() america.
hoa kỳ	() american.
hoa kỳ	() us.
hoa lai ơn	() gladiolus.
hoa lan	() orchids.
hoa lan dạ hương	(dtừ) hyacinth.
hoa lan rừng	() wild orchid.
hoa lan thiên nga	(dtừ) swan-flower.
hoa lá	() flowers and leaves/foliage.
hoa lá	() (nghĩa bóng) dalliance.
hoa lài	() jasmine.
hoa lài	() jessamine.
hoa lạc	() falling flowers.
hoa lạc	() the flowers fall.
hoa lạc tiên	(dtừ) passion-flower.
hoa lệ	(ttừ) splendid.
hoa lệ	(ttừ) magnificent.
hoa lệ	(ttừ) superb.
hoa lệ	(ttừ) resplendent.
hoa liễu	() xem khoa hoa liễu.
hoa loa kèn	() lily.
hoa loa kèn đỏ	(dtừ) amaryllis.
hoa loa kèn trắng	(dtừ) madonna lily.
hoa lơ	() cauliflower.
hoa lợi	() yield.
hoa lợi	() emblements.
hoa lợi của cha sở	(dtừ) vicarage.
hoa lợi hằng năm	(dtừ) purchase.
hoa lưu ly	() forget-me-not.
hoa lý	() -.
hoa lý	() như thiên lý pergularia.
hoa mai	(dtừ) apricot blossom.
hoa mà	() farm produce, fruits of the earth.
hoa mào gà	(dtừ) cockscomb.
hoa màu	() farm produce, fruits of the earth.
hoa mắt	() be dazzled.
hoa mặt trời	(dtừ) sunflower.
hoa mẫu đơn	(dtừ) peony flower.
hoa mật	() nectar.
hoa móng tay	() henna.
hoa mõm chó	() snapdragon.
hoa mõm chó	() antirrhinum.
hoa mộc	() ohmantus fragans.
hoa mơ	() white-dotted.
hoa mua	() cornflower.
hoa muống	() địa phương.
hoa muống	() muống.
hoa muộn	() late flower.
hoa mỹ	() fine.
hoa mỹ	() florid.
hoa mỹ	() flowery.
hoa mỹ kỳ cục	(ttừ) baroque.
hoa nghệ tây	(dtừ) crocus.
hoa ngọc bút	() kind of theaceae.
hoa ngọc châm	() magnolia.
hoa ngọc lan tây	(dtừ) ilang-ilang.
hoa ngôn	() (từ nghĩa cũ) bragging words.
hoa nguyệt	() (cũng nói nguyệt hoa) sensual love.
hoa ngũ sắc	() như hoa cứt lợn.
hoa ngũ vị	() như hoa cứt lợn.
hoa ngữ	() chinese language.
hoa ngữ	() chinese.
hoa nhài	() xem hoa lài.
hoa nhỏ	(dtừ) floret.
hoa nhung	() velvet flowers.
hoa nhường nguyệt thẹn	() very beautiful woman.
hoa niên	() bloom of youth.
hoa nô	() (từ nghĩa cũ)(cũng nói hoa tỳ) maid (ở các nhà quyền quý thời xưa).
hoa nở về đêm	(dtừ) night-flower.
hoa nương	() prostitute, whore.
hoa nữ	() beautiful girl.
hoa oải hương	(dtừ) lavender.
hoa păng-xê	(dtừ) pansy.
hoa phía ngoài của cụm hoa đầu	(dtừ) ray.
hoa phong lữ	() geranium.
hoa phượng	() phoenix-flower, a large flowering tree with small bright redflowers, flamboyant.
hoa quả	(dtừ) fruits.
hoa quả giầm	(dtừ) pickle.
hoa quì	() sunflower.
hoa quì thiên trúc	() geranium.
hoa râm	() grey, grey-haired, pepper-and-salt.
hoa rơi bình vỡ	() falling flowers and broken vase.
hoa rơi bình vỡ	() die.
hoa rừng	() woodland flowers.
hoa sen	() lotushoa senhoa sen hoàng hậu.
hoa sen	() rose (of a watering-can).
hoa sen	() shower.
hoa sói	() cholorantus.
hoa sói	() (hoa hoè hoa sói) gaudy.
hoa sơn trà	() blossom of camellia reticulata.
hoa súng	(dtừ) nenuphar.
hoa sứ	(dtừ) red jasmin.
hoa sữa	() milk flower.
hoa tai	() ear-ring.
hoa tai mặt chùm	(dtừ) girandole.
hoa tai một hột	(dtừ) solitaire.
hoa tay	() dexterity, deftness.
hoa tàn	() faded flower.
hoa tàn nhụy rữa	() (of woman's beauty) withered, faded.
hoa tạ	() flowers wither.
hoa tầm xuân	(dtừ) dogrose.
hoa thạch thảo	() heath-bell, heather-bell.
hoa thị	() rose-shaped design, rosette design.
hoa thuỷ tiên	(dtừ) narcissus.
hoa thục quỳ	(dtừ) hollyhock.
hoa thương	() chinese merchant.
hoa thược dược	() dahlia.
hoa ti gôn	() antigone.
hoa tiên	() (từ nghĩa cũ) flower-filigreed paper (to write letters or poems on).
hoa tiêu	(dtừ) pilot.
hoa tiêu	(dtừ) navigator.
hoa tiêu không có đăng ký	(dtừ) hoveller.
hoa tiêu mới tập sự	(dtừ) apprentice.
hoa tiêu trưởng	(dtừ) skipper.
hoa tím	() violet.
hoa tì	() (từ nghĩa cũ) như hoa nô.
hoa tình	() amorous, erotic.
hoa trái	() flowers and fruits.
hoa trà	() camelia.
hoa trường thọ	(dtừ) jonquil.
hoa tuyết	() snow flakes.
hoa tú cầu	(dtừ) guelder rose.
hoa tường liễu ngõ	() prostitutes.
hoa tường vi	() climbing rose.
hoa tử đinh hương	(dtừ) lilac.
hoa tự	() (bot) inflorescence.
hoa tỳ	() (từ nghĩa cũ) như hoa nô.
hoa uất kim hương	(dtừ) tulip.
hoa ủ	() flowers wither.
hoa vạn thọ	() marigold.
hoa văn	() design.
hoa văn	() pattern.
hoa văn	() (hoa văn) xem hoa ngữ.
hoa văn chữ triện	(dtừ) fret.
hoa văn hình hạt tròn	(dtừ) beading.
hoa viên	() (từ nghĩa cũ) flower-garden.
hoa vương	() king of flowers, peony.
hoa xoè	() (từ nghĩa cũ) one-piastre silver coin (under the french domination).
hoa xô đỏ	(dtừ) salvia, scarlet sage.
hoa xuân	() spring flowers.
hoai	() (be) completely decomposed compost.
hoan hỉ	(ttừ) joyful.
hoan hỉ	(ttừ) delighted.
hoan hô	() to cheer.
hoan hô	() to acclaim.
hoan hô	() to applaud.
hoan hô	() to give somebody an ovation.
hoan hô	() bravo.
hoan hô	() hurrah.
hoan hô	() hurray.
hoan hô	() hooray.
hoan hô	() well done.
hoan hô nhiệt liệt	(dtừ) acclamation, plaudit.
hoan hỷ	() be elated, be grafified.
hoan lạc	(ttừ) merry, joyful, cheerful.
hoan lạc chủ nghĩa	() hedonist.
hoan nghênh	() to welcome.
hoan nghênh	() to give somebody an ovation.
hoan nghênh	() to applaud.
hoan nghênh	() to acclaim.
hoan nghênh	() to cheer.
hoan nghinh	() địa phương.
hoan nghinh	() xem hoan nghênh.
hoan tống	() give a cheerful send-off.
hoang	() uncultivated.
hoang	() fallow.
hoang	() uninhabited.
hoang	() born out of wedlock.
hoang	() bastard.
hoang báo	() false report.
hoang chính	() laissez-faire policy.
hoang dã	() desolate and waste.
hoang dại	(ttừ) wild.
hoang dâm	(ttừ) lustful.
hoang dâm vô độ	(phó từ) incontinently.
hoang dâm vô độ	(ttừ) incontinent.
hoang đàng	() wild.
hoang đàng	() prodigal.
hoang đàng	() extravagant.
hoang đản	() fantastic exaggeration.
hoang đảo	() desert island.
hoang điền	() uncultivated field.
hoang địa	() waste land.
hoang đốn	() be uncultivated.
hoang đường	() unreal.
hoang đường	() fabulous.
hoang hoác	() xem hoác (láy).
hoang hóa	() uncultivated.
hoang hóa	() fallow.
hoang liêu	() deserted, solitary.
hoang lương	() be isolated, lonely.
hoang mang	(ttừ) puzzled, alarmedd.
hoang mang lo sợ	(dtừ) scare.
hoang mang sợ hãi	(dtừ) panic.
hoang mang sợ hãi	(ngđtừ) panic.
hoang mang sợ hãi	(ttừ) panic, panic-stricken.
hoang mang tột độ	(dtừ) snafu.
hoang mạc	() wasteland.
hoang mạc	() wilderness.
hoang mạc puna	(dtừ) puna.
hoang ngôn	() falsehood, lie.
hoang nhàn	() be fallow, unplanted.
hoang niên	() famine year.
hoang phế	(ttừ) deserted, win.
hoang phí	() xem phung phí.
hoang rừng	(ttừ) wild.
hoang sơ	() neglected.
hoang tàn	(ttừ) devastated.
hoang tàng	(dtừ) lavishness.
hoang tàng	(ttừ) lavish.
hoang thai	() unborn child out of wedlock, unborn illegitimate child.
hoang thai	() illegitimate pregnancy.
hoang tích	() be deserted.
hoang tịch	() desolate, be deserted.
hoang toàng	() (đứa con hoang toàng) prodigal son.
hoang toàng xa phí	(dtừ) improvidence.
hoang toàng xa phí	(ttừ) improvident.
hoang tưởng	() delusion.
hoang tưởng	() illusion.
hoang tưởng hóa sói	(dtừ) lycanthropy.
hoang tưởng tự đại	() (chứng hoang tưởng tự đại) delusions of grandeur.
hoang tưởng tự đại	() megalomania.
hoang vắng	() desolate.
hoang vắng	() deserted.
hoang vắng	() unfrequented.
hoang viễn	() stretch as far as the eye can see.
hoang vu	(ttừ) wild.
hoang vu	(ttừ) desert.
hoang vu	(ttừ) desolate.
hoang xa	() depraved.
hoang xa	() corrupt.
hoanh nghênh	(dtừ) ôclat.
hoác	() open wide.
hoác	() hoang hoác (láy, ý tăng).
hoác hoác	() large, big.
hoác miệng	() wide-mouthed.
hoác mở	() opened wide.
hoái	() constantly, repeatedly.
hoán	() refine and boil down.
hoán cải	() turn over a new leaf, reform, give up one's bad ways for a good life.
hoán chuyển	(đtừ) to exchange post.
hoán cựu tòng tân	() modernize.
hoán dịch	() exchange.
hoán dụ	(dtừ) metonymy.
hoán dụ pháp	() a figure of speech, a metonym.
hoán đảo pháp	() metathesis.
hoán giảm	() commute (a prison sentence).
hoán tân	() renew, make new, refresh.
hoán tập	() commutator subgroup.
hoán tệ	() convert currencies.
hoán trạng pháp	() hypallage.
hoán tử	(dtừ) commutator.
hoán vị	(đtừ) to permute.
hoán xưng pháp	() antonomasia.
hoát	() profound.
hoát nhiên	() profound, penetrating.
hoáy	() (sâu hoáy) very deep.
hoà giải	(ngđtừ) arrange.
hoà giải	(ngđtừ) to mediate.
hoà giải	(ngđtừ) to conciliate.
hoà giải	(ngđtừ) to reconcile.
hoài	() constantly.
hoài	() ceaselessly.
hoài	() all the time.
hoài ân	() be greatful, recall a favour.
hoài báo	() hope, dream, ambition.
hoài bão	() aspiration.
hoài bão	() striving, yearning.
hoài cảm	() remember (recollect) with emotion.
hoài công	() in vain.
hoài cổ	() to recollect things in the past.
hoài cổ	() to be nostalgic.
hoài của	() what a pity.
hoài cựu	() think of or miss the past.
hoài dựng	() be/become pregnant.
hoài đức	() virtuous.
hoài hận	() bear a grudge, harbour hatred.
hoài hoài	() forever, continually.
hoài hơi	() lose one's time, waste one's breath.
hoài huệ	() be grateful.
hoài hương	() be homsesick.
hoài lợi	() envy.
hoài mộ	() esteem and admire.
hoài nghi	() xem nghi ngờ.
hoài nghi	() xem đa nghi.
hoài nghi luận	() skepticism.
hoài nghi triết học	(dtừ) pyrrhonism.
hoài nhân	() vicious man, depraved man.
hoài niệm	(đtừ) to think of.
hoài phí	() waste, squander.
hoài sơn	() oppositifolius yam.
hoài thai	() be with cjild, gestate, have a pregnancy.
hoài thổ	() long for one's own country.
hoài tưởng	() think longingly of one's native village.
hoài vọng	(đtừ) to long for.
hoài xuân	() long for vernal time.
hoài xuân	() (b) feel nostalgia for past love emotions.
hoàn	() pill.
hoàn	() to give back.
hoàn	() to restore.
hoàn	() to return.
hoàn	() to reimburse.
hoàn	() to refund.
hoàn bích	() perfect, excellent.
hoàn bị	() complete, thorough, full.
hoàn bội	() necklace.
hoàn cảnh	() situation.
hoàn cảnh	() circumstances.
hoàn cảnh ép buộc	(dtừ) force majeure.
hoàn cảnh gay go	(dtừ) razor-edge.
hoàn cảnh gây khó khăn	(dtừ) stumbling-block.
hoàn cảnh khó khăn	(thngữ) bed of thorns, a tight corner.
hoàn cảnh làm chậm tiến	(dtừ) pull-back.
hoàn cảnh làm cho lưỡng lự	(dtừ) stumbling-block.
hoàn cảnh làm giảm nhẹ tội	(thngữ) extenuating circumstances.
hoàn cảnh lúng túng	(dtừ) hole.
hoàn cảnh thuận lợi	(dtừ) opening, advantage.
hoàn cảnh thủ đô	(dtừ) metropolitanism.
hoàn cảnh xung quanh	(dtừ) circumambiency.
hoàn cầu	(dtừ) the world.
hoàn chỉnh	() fully worked-out, fully done, fully made....
hoàn chỉnh sự giáo dục của	(ngđtừ) finish.
hoàn chỉnh vị ngữ	(ttừ) prolative.
hoàn công	() finished work, completed work.
hoàn dần	(ngđtừ) amortize.
hoàn dược	() pills.
hoàn đồng	() (cải lão hoàn đồng) rejuvenate oneself.
hoàn giá	() counter-offer.
hoàn giá chào	(dtừ) counter-offer.
hoàn giảm	() pay in installments, amortize.
hoàn hải	() throughout the world.
hoàn hảo	() indefectible.
hoàn hảo	() impeccable.
hoàn hảo	() faultless.
hoàn hảo	() perfect.
hoàn hảo	() tiptop.
hoàn hôn	() marry.
hoàn hôn	() consummated marriage.
hoàn hồn	() to regain consciousness/one's senses.
hoàn hồn	() to recover consciousness/one's senses.
hoàn hồn	() to come to one's senses.
hoàn hồn	() to recover one's composure.
hoàn hồn	() to regain one's calm.
hoàn hồn	() to breathe easily/freely again.
hoàn hương	() return home.
hoàn kế	() perfect scheme.
hoàn lại	() to give back.
hoàn lại	() to restore.
hoàn lại	() to return.
hoàn lại	() to reimburse.
hoàn lại	() to refund.
hoàn lại tài sản mất	(dtừ) reward.
hoàn lương	() xem cải tà quy chính.
hoàn lưu khí quyển	() circulation of atmosphere.
hoàn lưu nhiệt	() thermal circulation.
hoàn lưu nước	() circulation of water.
hoàn mãn	() be complete, be completed.
hoàn mỹ	(ttừ) perfectly beautiful.
hoàn nạp	() pat the whole amount.
hoàn ngân	() recoupement, repayment.
hoàn nguyên	() revert to the orginal state.
hoàn nguyện	() completely satisfied.
hoàn ngược	(dtừ) feedback.
hoàn phách	() rhythmic.
hoàn phúc	() be perfectly happy.
hoàn phúc	() perfect happiness.
hoàn sinh	() rise again, rise from the dead.
hoàn tán	() powdered medicine and pills, medicine in pills and in powder.
hoàn tất	(đtừ) to complete, to finish.
hoàn thành	() to accomplish.
hoàn thành	() to complete.
hoàn thành	() to finish.
hoàn thành	() to fulfil.
hoàn thành cái gì	(thngữ) to follow sth through.
hoàn thành công việc	(thngữ) to clean up.
hoàn thành nhờ tài khéo léo	(thngữ) to put over.
hoàn thành vượt mức	(dtừ) overfulfilment.
hoàn thành vượt mức	(ngđtừ) overfulfil.
hoàn thiện	() to perfect.
hoàn thiện	() to better.
hoàn thiện	() to improve.
hoàn thiện hơn	(thngữ) to improve on (upon).
hoàn tiền lại	() to pay back.
hoàn tiền lại	() to repay.
hoàn tiền lại	() to refund.
hoàn tiền lại	() to reimburse.
hoàn toàn	() perfect.
hoàn toàn	() faultless.
hoàn toàn	() complete.
hoàn toàn	() total.
hoàn toàn	() entire.
hoàn toàn	() absolutely.
hoàn toàn	() completely.
hoàn toàn	() fully.
hoàn toàn	() entirely.
hoàn toàn	() totally.
hoàn toàn	() wholly.
hoàn toàn	() diametrically.
hoàn toàn	() roof and branch.
hoàn toàn	() altogether.
hoàn toàn	() quite.
hoàn toàn bất ngờ	(thngữ) out of the blue.
hoàn toàn bất tỉnh	(thngữ) in a dead faint.
hoàn toàn bình thường	(thngữ) (only) to be expected.
hoàn toàn bịa từ đầu đến cuối	(thngữ) out of the whole cloth.
hoàn toàn có trật tự	(thngữ) in apple.
hoàn toàn đánh bại ai	(thngữ) to beat somebody hollow (all to prices, to nothing, to ribbands, to smithereens to sticks).
hoàn toàn đầy đủ	(thngữ) at full length.
hoàn toàn đích đáng	(phó từ) properly.
hoàn toàn đối lập nhau	(thngữ) to be poles asunder.
hoàn toàn đối nhau	(dtừ) polarity.
hoàn toàn đối nhau	(ttừ) polar.
hoàn toàn đồng ý với ai	(thngữ) couldn't agree (with sb) more.
hoàn toàn đúng	(phó từ) precisely.
hoàn toàn đúng	(thngữ) right as a trivet, right as nails.
hoàn toàn đúng	(ttừ, phó từ) point-device.
hoàn toàn đúng là	(thngữ) all over.
hoàn toàn hết	(phó từ) out.
hoàn toàn kết thúc	(thngữ) over and done with.
hoàn toàn khác nhau	(thngữ) worlds apart, (as) different as chalk and/ from cheese.
hoàn toàn không	() xem không hề 2, 3.
hoàn toàn không đáng kính trọng	(thngữ) beneath contempt.
hoàn toàn không hợp lẽ phải	(dtừ) unconscionableness.
hoàn toàn không hợp lẽ phải	(ttừ) unconscionable.
hoàn toàn không nản lòng	(thngữ) nothing daunted.
hoàn toàn là một con số không	(thngữ) to stand for cipher.
hoàn toàn lệ thuộc	(dtừ) servility.
hoàn toàn lệ thuộc	(ttừ) servile.
hoàn toàn lệ thuộc vào vợ	(thngữ) to be tied (to be pinned) to one's wife's apron.
hoàn toàn mù	(ttừ) stone-blind.
hoàn toàn như vậy	(phó từ) absolutely.
hoàn toàn sai	(dtừ) monstrousness.
hoàn toàn sai	(ttừ) monstrous.
hoàn toàn thật sự	(phó từ) fairly.
hoàn toàn thỏa mãn	(ngđtừ) overcloy.
hoàn toàn thư giãn	(thngữ) (be/feel) at (one's) ease.
hoàn toàn tồi tệ đối với ai	(thngữ) (not) the end of the world.
hoàn toàn trái ngược nhau	(dtừ) polarity.
hoàn toàn trái ngược nhau	(thngữ) to be poles asunder.
hoàn toàn trái ngược nhau	(ttừ) polar.
hoàn toàn trống không	(thngữ) (as) bare as the palm of one's hand.
hoàn toàn trơ trụi	(thngữ) (as) bare as the palm of one's hand.
hoàn toàn tuyệt đối	(ttừ) blank, implicit.
hoàn toàn tự do	(dtừ) let.
hoàn toàn tự do	(thngữ) let it all hang out.
hoàn toàn tự tay viết ra	(ttừ) holograph.
hoàn toàn vô giá trị	(thngữ) to stand for cipher.
hoàn toàn vô lý	(dtừ) unconscionableness, monstrousness.
hoàn toàn vô lý	(ttừ) monstrous.
hoàn toàn vô ý	(ttừ) unconscionable.
hoàn toàn xong	(phó từ) up.
hoàn toàn xóa bỏ	(thngữ) to make a clean sweep of.
hoàn trả	() to return.
hoàn trả	() to refund.
hoàn tục	() to give up the frock.
hoàn tục	() to return to the secular life.
hoàn tục	() to leave the priesthood.
hoàn vũ	() the universe.
hoàng	(dtừ) female phoenix.
hoàng	(dtừ) king.
hoàng	(dtừ) emperor.
hoàng	(dtừ) prince (nói tắt).
hoàng	(ttừ) yellow.
hoàng anh	() (cũng nói vàng_anh, hoàng_oanh) oriole.
hoàng ân	() royal favour.
hoàng bào	() (từ nghĩa cũ) royal robe.
hoàng bì	() xanthodermy.
hoàng bì thư	() the yellow book.
hoàng chủng	() (từ nghĩa cũ) yellow race.
hoàng cung	() imperial palace.
hoàng cung	() royal palace.
hoàng cúc	() (bot) calliopsis, chrysanthemum.
hoàng cường toan	() aqua regia.
hoàng cực	() royalty, throne.
hoàng du	() butter.
hoàng dương	() (gỗ) boxwood.
hoàng đản	() xem bệnh vàng da.
hoàng đạo	() zodiac.
hoàng đằng	() rhubarb (plant)(cây đại hoàng).
hoàng đế	() emperor.
hoàng điểu	() (zool) yellow bird.
hoàng điện	() royal palace.
hoàng gia	() royal family.
hoàng gia	() royalty.
hoàng gia	() royal.
hoàng gia pháp	(dtừ) fleur-de-lis.
hoàng giáp	() second-rank doctor (in court feudal competition - examination).
hoàng hậu	() queen.
hoàng hậu nga	(dtừ) czarina.
hoàng hiệu	() dynastic title.
hoàng hoa	() chrysanthemum.
hoàng hoạ	() yellow peril.
hoàng hoặc	() be afraid amd doubtful.
hoàng hôn	() sunset.
hoàng hôn	() dusk.
hoàng hôn	() crepuscle.
hoàng hôn hải thủy	() nautical twilight.
hoàng hôn thiên văn	() astronomical twilight.
hoàng hổ phách	() yellow amber.
hoàng khảo	() the king's late father.
hoàng khiển	() control yellow.
hoàng kim	() (thời hoàng kim) golden age.
hoàng kim hắc nhân tâm	() a fair booty makes many a thief.
hoàng kim hắc nhân tâm	() an open door may tempt a saint.
hoàng kim hắc nhân tâm	() money is the root of all evil.
hoàng kim hắc nhân tâm	() opportunity makes the thief.
hoàng kỳ	() (thực, dược học) astragalus.
hoàng lan	() (thực) ylang ylang.
hoàng lạp	() wax, beeswax.
hoàng liên	() (thực) goldthread.
hoàng long	() yellow dragon.
hoàng lương	() (từ-nghĩa cổ) sweet dream.
hoàng mai	() yellow apricot blossom.
hoàng ngọc	() topaz.
hoàng ngọc	() chrysolite.
hoàng nhiệt	() yellow fever.
hoàng nữ	() emperor's daughter.
hoàng oanh	(dtừ) oriole.
hoàng phái	() royal blood.
hoàng phong	() rich, wealthy.
hoàng quì hoa	() helianthemum.
hoàng thái hậu	() queen mother.
hoàng thái tử	() crown prince.
hoàng thành	() royal citadel, imperial citadel.
hoàng thân	() royal.
hoàng thân	() prince.
hoàng thân quốc thích	() member of the royal family.
hoàng thân quốc thích	() royal.
hoàng thân tiểu vương	(dtừ) emir.
hoàng thất	() royal blood.
hoàng thiên	() heaven.
hoàng thống	() royal genealogy.
hoàng thổ	() (địa) loess.
hoàng thượng	(dtừ) sir.
hoàng thượng	(dtừ) his majesty.
hoàng tinh	() arrowroot.
hoàng tịch	() deceased husband.
hoàng tôn	() king's grandson, queen's grandson.
hoàng tộc	() royal family.
hoàng tộc	() imperial family.
hoàng tộc	() royalty.
hoàng triều	() reigning king's court.
hoàng trùng	() (từ nghĩa cũ) grasshopper.
hoàng tuyền	() styx, hades, nether world.
hoàng tước	() oriole.
hoàng tử	() prince.
hoàng tử ấn độ	(dtừ) maharaja.
hoàng tử nước áo	(dtừ) archduke.
hoàng xà	() yellow snake.
hoàng yến	() serin, canary (bird).
hoàng yến	() siskin.
hoành	() như hoành phi.
hoành	() (ít dùng) width.
hoành	() ridge-pole, purlin.
hoành ân	() great favour.
hoành bá	() vast, immense.
hoành bạo	() act freely and violently.
hoành biện	() argue, discuss.
hoành cách	() diaphragm.
hoành cách mạc	() diaphragm.
hoành cách mạc thống	() pain in diaphragm.
hoành cách mô	() diaphragm.
hoành đạt	() vast knowledge.
hoành đạt	() prosperous, illustrious.
hoành đoạt	() seize.
hoành đồ	() drawing, draft, map.
hoành đồ	() plan, project.
hoành độ	() abscissa.
hoành hành	(đtừ) to do whatever one like.
hoành khai	() enlarge, expand.
hoành lệ	() grandiose, magnificent.
hoành liệt	() extend.
hoành nghịch	() upside down.
hoành nho	() learned scholar.
hoành phi	() horizontal lacquered board (engraved with chinese characters).
hoành sơn	() buttress.
hoành sơn	() (hoành sơn) a chain of mountains separating the provinces of ha tinh and quang binh in central vietnam.
hoành tài	() great talent.
hoành tráng	(ttừ) imposing.
hoành tráng	(ttừ) monumental.
hoành tuyến	() abscissa.
hoành tuyến chi phiếu	() crossed cheque.
hoành tuyệt	() huge.
hoả bài	() emergency pass (used by messengers carrying the king's urgent orders).
hoả bài quân	() courier, messenger.
hoả cấm	() curfew.
hoả cấp	() urgent.
hoả cầu	() fireball.
hoả cầu	() the sun.
hoả châu	(dtừ) rocket.
hoả châu	(dtừ) flare.
hoả châu có dù	() parachute flare.
hoả châu màu	() coloured flare.
hoả chiến	() incendiary warfare, flame warfare.
hoả công	() to attack with fire.
hoả công	() to use fire as an offensive weapon.
hoả cụ	() fire equipment.
hoả cụ	() firearms.
hoả diệm sơn	() như núi lửa.
hoả đàn	() pyre.
hoả đầu	() cook.
hoả đầu quân	() (từ nghĩa cũ) army mess-cook.
