ka ki	() khaki.
không gạch chéo	(ttừ) uncrossed.
không gạch đường bóng	(ttừ) unhatched.
không gạn lọc	(ttừ) unsifted.
không gắt	(ttừ) mild.
không gặp	(thngữ) to lose contact with.
không gặp sự đối lập	(ttừ) unopposed.
không gặt	(ttừ) unharvested, uncropped.
không gây ấn tượng sâu sắc	(ttừ) unimpressive.
không gây bệnh dịch	(ttừ) unplagued.
không gây được ấn tượng	(ttừ) ineffective.
không gây được ấn tượng sâu sắc	(dtừ) unimpressiveness.
không gây được thiện cảm	(dtừ) unamiability.
không gây được thiện cảm	(ttừ) unamiable.
không gây hứng	(ttừ) lacklustre.
không gây tai họa	(ttừ) unplagued.
không gây tác hại	(ttừ) hurtless.
không gây tổn thương	(ttừ) hurtless.
không gây xúc động	(dtừ) unimpressiveness.
không gây xúc động	(ttừ) unimpressive.
không gây xúc động mạnh	(ttừ) unsensational.
không gần gũi	(thngữ) out of contact.
không ghen ghét	(ttừ) ungrudging.
không ghen tị	(ttừ) unenvying.
không ghé vào được	(dtừ) inaccessibility.
không ghé vào được	(ttừ) inaccessible.
không ghê tay	(thngữ) in cold blood.
không ghi	(ttừ) unstored.
không ghi được bàn nào	(ttừ) goalless.
không ghi nhớ được	(dtừ) irretention.
không ghi nhớ được	(ttừ) irretentive.
không ghi vào	(thngữ) to drop out.
không ghi vào mục lục	(ttừ) unindexed.
không gia đình	(ttừ) kinless.
không gia hạn	(ttừ) unextended.
không gia nhập công đoàn	(ttừ) non-union.
không gia nhập vào	(ttừ) unaffiliated.
không gia vị	(ttừ) unseasoned.
không giai cấp	(ttừ) classless.
không gian	() space.
không gian	() spatial.
không gian dối	(ttừ) stand-up.
không gian lận	(phó từ) fairly.
không gian lận	(ttừ) fairness.
không gian lận hoặc lừa dối	(ttừ, phó từ) bona fide.
không gian thời gian	(dtừ) space-time.
không gian thời gian	(ttừ) spatio-temporal.
không gian trá	(ttừ) unsophisticated.
không gian vô cùng	() infinite space.
không gian vũ trụ	() outer space.
không gian vũ trụ	() aerospace.
không giao	(ttừ) uncommitted.
không giao hoán	(ttừ) non-commutative.
không giao tiếp	(ttừ) closed.
không giáo phái	(ttừ) undenominational.
không giáp liền	(ttừ) discontiguous.
không giàu óc tưởng tượng	(ttừ) unimaginative.
không giả mạo	(ttừ) honest, unsophisticated, pucka.
không giả tạo	(dtừ) unaffectedness, artlessness.
không giả tạo	(ttừ) artless, natural, unaffected.
không giả trá	(ttừ) undissembling.
không giả vờ	(ttừ) undisguised.
không giải được	(ttừ) undeciphered.
không giải quyết được	(dtừ) insolubility, indeterminableness, insolvability.
không giải quyết được	(thngữ) can make nothing of.
không giải quyết được	(ttừ) insolvable, indeterminable, unsolvable, insoluble.
không giải thích được	(dtừ) unaccountableness, indemonstrability, insolvability.
không giải thích được	(ttừ) unexplainable, insolvable, indemonstrable.
không giảm	(thngữ) to keep up.
không giảm	(ttừ) undiminished, unallayed, unrelenting, unmodified.
không giảm nhẹ	(ttừ) unmitigated.
không giảm sút	(ttừ) unbroken, undamped, unabated.
không giã	(ttừ) unbruised.
không giặt	(ttừ) unwashed.
không giấu diếm	(ttừ, phó từ) above-board.
không giấu giếm	(dtừ) nakedness, openness.
không giấu giếm	(thngữ) to make no bones about (of).
không giấu giếm	(ttừ) undissembled, undissembling, naked, unhidden.
không giấu nghề	(thngữ) not to hide one's light (candle) under a bushed.
không giấu tài	(thngữ) not to hide one's light (candle) under a bushed.
không giập thối	(ttừ) sound.
không giật gân	(ttừ) unsensational.
không gieo rắc	(ttừ) undispersed.
không giỏi	(ttừ) unskilled, unversed, unconversant.
không giống	(nđtừ) disagree, differ.
không giống	(ttừ) unlike.
không giống nhau	(dtừ) dissimilarity, dissimilation, disagreement, inconformity.
không giống nhau	(phó từ) dissimilate.
không giống thầy tế	(ttừ) unpriestly.
không giống thầy tu	(ttừ) unpriestly.
không giới hạn	(dtừ) unlimitedness, unboundedness, indefiniteness.
không giới hạn	(ttừ) unbounded, indefinite, spanless, unlimited, unconfined.
không giúp đỡ gì được	(ttừ) unhelpful.
không giũa cho có răng	(ngđtừ) untooth.
không giương buồm	(thngữ) under bare poles.
không giữ	(ngđtừ) belie.
không giữ	(thngữ) to go back.
không giữ̃lời hứa	(đtừ) renege.
không giữ̃lời hứa	(thngữ) to go back on one's word.
không giữ̃lời hứa	(ttừ) faithless.
không giữ được	(dtừ) irretention, incontinence, untenability.
không giữ được	(ttừ) irretentive, untenable.
không giữ được khoảng cách	(ngđtừ) bunch.
không giữ gìn	(dtừ) unguardedness.
không giữ gìn	(ttừ) unguarded.
không giữ lời	(ngđtừ) unsay.
không giữ lời	(nđtừ) crawfish.
không giữ lời	(thngữ) to cry off.
không giữ lời thề	(dtừ) oath-breaking.
không giữ trọn được	(ttừ) unredeemable.
không giữ vững được	(ttừ) unsustained.
không giữ ý tứ	(dtừ) bluntness.
không giữ ý tứ	(phó từ) bluntly.
không giữ ý tứ	(ttừ) blunt.
không gì	() nothing.
không gì lay chuyển được	(ttừ) impregnable.
không gì mục đích gì	(thngữ) for nothing.
không gì sánh được	(ttừ) unrivalled.
không gì sánh kịp	(thngữ) to lick creation.
không gỉ	(ttừ) rustproof, stainless, rust-free.
không gói	(ttừ) open.
không gò bó	(dtừ) laissez-aller, spontaneity.
không gò bó	(phó từ) freely.
không gò bó	(ttừ) spontaneous.
không gò ép	(ttừ) unlaboured.
không gò theo được	(ttừ) stubborn.
không gọn gàng	(ttừ) disorderly, dilapidated.
không gọt	(ttừ) unpared.
không gọt giũa	(ttừ) unhewn, uncoined, raw.
không gọt vỏ	(ttừ) unpeeled.
không gồm	(ttừ) uninvolved, exclusive.
không gộp vào	(ttừ) unembodied.
không gớm guốc	(ttừ) unoffensive.
không gỡ hòa	(ngđtừ) unequalise, unequalize.
không gợi cảm	(dtừ) jejuneness.
không gợi cảm	(ttừ) uninspiring, jejune.
không gợn lăn tăn	(ttừ) unrippled.
không gợn sóng	(ttừ) waveless, unruffled.
không gù lưng	(ttừ) humpless.
không gửi	(ttừ) unsent.
không gửi qua bưu điện	(ttừ) unposted.
không ham muốn	(dtừ) unambitiousness.
không ham muốn	(ttừ) undesirous, unambitious, unsolicitous.
không hao	(dtừ) fixity.
không hay	() unlucky.
không hay	() untoward.
không hay	() without any knowledge.
không hay biết gì	(dtừ) darkness.
không hay chán nản	(ttừ) resilient.
không hay chiều ý	(ttừ) uncomplaisant.
không hay chỉ trích	(ttừ) uncritical.
không hay hỏi lại	(ttừ) unquestioning.
không hay nản lòng	(ttừ) resilient.
không hay nghĩ ngợi	(ttừ) unthoughtful.
không hay nhân nhượng	(ttừ) unpliable.
không hay quan sát	(ttừ) unobservant.
không hay thổ lộ tâm sự	(dtừ) incommunicativeness.
không hay thổ lộ tâm sự	(ttừ) incommunicative.
không hay thổ lộ tâm tình	(ttừ) undemonstrative.
không hái	(ttừ) unculled, unpicked, uncropped.
không hám lợi	(ttừ) unmercenary.
không hài hòa	(dtừ) inharmoniousness.
không hài hòa	(ttừ) inharmonious, inharmonic.
không hài lòng	(dtừ) discontent, displeasure.
không hài lòng	(đtừ) discontent.
không hài lòng	(ngđtừ) displease.
không hài lòng	(ttừ) discontented, dissatisfied, ungratified, frustrated.
không hàng phục	(dtừ) unsubmissiveness.
không hàng phục	(ttừ) unsubmissive.
không hào hiệp	(dtừ) unhandsomeness, unknightliness.
không hào hiệp	(ttừ) unhandsome, unknightly, unchivalrous.
không hào hoa phong nhã	(ttừ) ungentlemanly.
không hào phóng	(ttừ) ungenerous.
không hạ	(thngữ) to keep up.
không hại	(dtừ) innocence, innoxiousness.
không hại	(ttừ) innocent, innoxious.
không hại gì	(thngữ) as well.
không hạn chế	(phó từ) ad lib.
không hạn chế	(ttừ) unstinted, stintless, open, unreserved.
không hạn chế chơi bời rượu chè	(ttừ) wide-open.
không hạn chế tốc độ	(ttừ) unrestricted.
không hạn định	(dtừ) indefiniteness.
không hạn định	(ttừ) indefinite.
không hăng hái	(dtừ) half-heartedness.
không hăng hái	(ttừ) unzealous, half-hearted, unenthusiastic.
không hằn học	(ttừ) ungrudging.
không hẳn	(ttừ) no.
không hấp dẫn	(dtừ) jejuneness.
không hấp dẫn	(ttừ) uninviting, jejune, heavy.
không hé răng	() not to open one's mouth/lips.
không hé răng	() (nghĩa bóng) to keep mum about something.
không hé răng	() not to breathe/utter a word about something.
không héo	(dtừ) unfadingness.
không héo	(ttừ) unfading, unwithering.
không héo hắt đi	(ttừ) unwithered.
không hẹp hòi	(ttừ) liberal.
không hết	(dtừ) unendingness.
không hết	(ttừ) unslaked, unending.
không hết đau	(ttừ) unrelieved.
không hề	() xem chẳng bao giờ.
không hề	() far from....
không hề	() not at all.
không hề	() no.
không hề bị đánh bại	(ttừ) unvanquished.
không hề bối rối	(dtừ) imperturbation, imperturbability.
không hề bối rối	(ttừ) imperturbable.
không hề có	(ttừ) unprecedented.
không hề gì	() it doesn't matter.
không hề gì	() no problem.
không hề gì	() xem chẳng ăn thua gì.
không hề gì	() xem không sao 3.
không hề nao núng	(dtừ) imperturbability, imperturbation.
không hề nao núng	(thngữ) to carry it off well, as cool as a cucumber.
không hề nao núng	(ttừ) imperturbable.
không hề quan tâm	(thngữ) not give a shit.
không hề yếu đi	(ttừ) relentless.
không hệ thống	(dtừ) desultoriness.
không hệ thống	(ttừ) desultory.
không hiến thân cho	(ttừ) unmortgaged.
không hiếu chiến	(ttừ) unwarlike, unmartial.
không hiểu	(dtừ) inapprehensiveness.
không hiểu	(ttừ) inapprehensive.
không hiểu biết gì	(ttừ) illiterate.
không hiểu biết gì về các nước khác	(dtừ) insularism.
không hiểu biết gì về các nước khác	(ttừ) insular.
không hiểu đầu đuôi	(thngữ) can make nothing of.
không hiểu đầu đuôi ra sao	(thngữ) can't make head or tail of.
không hiểu được	(dtừ) inapprehension, incognizance, incomprehension.
không hiểu được	(ttừ) incognizant.
không hiểu gì cả	(thngữ) to talk over someone's head, not to know chalk from cheese.
không hiểu rõ	(ttừ) unapprehended.
không hiểu sai	(ttừ) unperveted.
không hiểu thấu	(dtừ) indigestion, unfathomableness.
không hiểu thấu	(ttừ) unfathomable.
không hiểu thấu được	(ttừ) unprobed.
không hiểu vì sao	() xem chẳng hiểu vì sao.
không hiện đại	(ttừ) unmodern.
không hiệu lực	(ttừ) effectless.
không hiệu nghiệm	(ttừ) non-effective.
không hiệu quả	(dtừ) vainness.
không hiệu quả	(phó từ) vainly.
không hiệu quả	(thngữ) in vain, of/ to no effect.
không hiệu quả	(ttừ) effectless.
không hình thức	(ttừ) quiet.
không hoa	(ttừ) cryptogamic.
không hoa mỹ	(ttừ) classical, unrhetorical, inornate.
không hoàn chỉnh	(dtừ) imperfectness.
không hoàn chỉnh	(ttừ) pendent, imperfect, unfinished.
không hoàn hảo	(dtừ) imperfectness.
không hoàn hảo	(ttừ) imperfect.
không hoàn mỹ	(ttừ) flawed.
không hoàn thành	(dtừ) non-fulfilment, non-completion.
không hoàn thành	(ttừ) unfulfilled, unperformed, unaccomplished.
không hoàn thiện	(ttừ) unmatured, flawed.
không hoàn toàn	(dtừ) imperfectness.
không hoàn toàn	(ttừ) imperfect, deficient, defective.
không hoảng hốt	(ttừ) unalarmed.
không hoạn	(ttừ) entire.
không hoạt động	(dtừ) inexertion, inaction, hibernation, inactivation.
không hoạt động	(ngđtừ) inactivate.
không hoạt động	(nđtừ) hibernate.
không hoạt động	(thngữ) to lie dormant.
không hoạt động	(ttừ) dead, supine, dormant, inactive, dead-alive, exanimate.
không hoạt động gì	(thngữ) to lie low.
không hoạt động nữa	(thngữ) to be in ordinary.
không hoen	(ttừ) unsullied.
không hót	(ttừ) songless.
không hòa âm	(dtừ) disharmony.
không hòa âm	(ttừ) dissonant, inharmonic, disharmonious.
không hòa bình	(ttừ) unpeaceful.
không hòa hợp	(dtừ) inconsonance, inharmoniousness, cacophony, jar, disharmony.
không hòa hợp	(nđtừ) jar.
không hòa hợp	(thngữ) out of square.
không hòa hợp	(ttừ) discordant, inconsonant, untuned, absonant, inharmonious, unaccordant, disharmonious, cacophonous, jarring.
không hòa màu trắng	(ttừ) saturated.
không hòa nhã	(ttừ) unaffable, ungentleness, ungentle.
không hòa tan	(dtừ) indissolubility.
không hòa tan được	(dtừ) insolubility.
không hòa tan được	(ngđtừ) insolubilize.
không hòa tan được	(ttừ) insoluble, indissoluble.
không hòa thuận	(dtừ) inharmoniousness.
không hòa thuận	(ttừ) inharmonious.
không hòng thắng	(ttừ) losing.
không hỏng	(ttừ) sound.
không học hành được	(dtừ) ineducability.
không học hành được	(ttừ) ineducable.
không hôi hám	(ttừ) unoffensive.
không hối cải	(ttừ) impenitent.
không hối cãi	(dtừ) impenitence.
không hối hận	(dtừ) unrepentance.
không hối hận	(ttừ) remorseless, unremorseful, unrepentant, uncontrite, unrepented.
không hối tiếc	(ttừ) unregretted.
không hồ	(ttừ) unsized.
không hồn	(dtừ) soullessness, inexpressiveness.
không hồn	(ttừ) glassy, soulless, inexpressive.
không hổ thẹn	(ttừ) unblushing, unashamed.
không hổ thẹn	(thngữ) if the sky fall we shall catch larks.
không hơn	(thngữ) if a day, no more than.
không hơn	(ttừ) unsurpassed.
không hơn được nữa	(thngữ) at (the) most.
không hơn được nữa	(thngữ) at the very most.
không hơn gì	(thngữ) no better than.
không hơn không kém	() neither more nor less.
không hơn không kém	() no more no less.
không hơn nhau tí nào	(thngữ) neck and neck.
không hớt	(ttừ) unclipped.
không hợp	(dtừ) unseemliness, incompatibility, disagreement, unbecomingness.
không hợp	(nđtừ) disagree.
không hợp	(thngữ) disagree with sb.
không hợp	(ttừ) improper, unbefitting, unbecoming, ill-suited, unseemly, abhorrent, uncongenial.
không hợp âm	(dtừ) discordance.
không hợp âm	(ttừ) discordant.
không hợp cách	(dtừ) viciousness.
không hợp cách	(ttừ) vicious.
không hợp điệu	(ttừ) absonant.
không hợp lý	(dtừ) inconsequence, irrationality.
không hợp lý	(ngđtừ) irrationalise.
không hợp lý	(ttừ) inconsequent, absonant, inconsequential, irrational.
không hợp mốt	(ttừ) dowdy.
không hợp nhau	(dtừ) incongruousness, repugnance.
không hợp nhau	(ttừ) incompatible, incongruous.
không hợp pháp	(dtừ) illegitimateness, illegality, unlawfulness, illegitimacy, illegalization, illegitimation, illicitness, lawlessness.
không hợp pháp	(ngđtừ) illegalise.
không hợp pháp	(ttừ) adulterine, unlawful, misbegotten, illegal, lawless, illegitimate, illicit.
không hợp tác	(dtừ) non-cooperation.
không hợp thành góc	(ttừ) agonic.
không hợp thời	(dtừ) untimeliness.
không hợp thời	(ngđtừ) antiquate.
không hợp thời	(ttừ) unseasonableness, antediluvian, unseasonable, musty, dated, antique, antiquated.
không hợp thời	(ttừ, phó từ) amiss, untimely.
không hợp thời trang	(dtừ) old-fashionedness, unfashionableness.
không hợp thời trang	(thngữ) at a discount.
không hợp thời trang	(ttừ) unfashionable, naff, old hat, mouldy, old-fashioned.
không hợp tính tình	(ttừ) uncongenial.
không hợp vào	(ttừ) unembodied.
không hợp vệ sinh	(dtừ) insanitation, unwholesomeness.
không hợp vệ sinh	(ttừ) unwholesome, unsanitary.
không hợp với	(ttừ) absonant, repugnant, unagreeable, incompatible, incongruous.
không hợp với đàn bà	(phó từ) unwomanly.
không hợp với đạo lý	(dtừ) inofficiousness.
không hợp với đạo lý	(ttừ) inofficious.
không hợp với khuôn phép	(dtừ) indecency.
không hợp với khuôn phép	(ttừ) indecent.
không hợp với lề thói ngành nghề	(ttừ) unprofessional.
không hợp với một nhà thể thao	(ttừ) unsportsmanlike.
không hợp với nguyên tắc triết học	(dtừ) unphilosophicalness.
không hợp với nguyên tắc triết học	(ttừ) unphilosophical.
không hợp với thầy tế	(ttừ) unpriestly.
không hợp với thầy tu	(ttừ) unpriestly.
không hợp với thơ	(dtừ) unpoeticalness.
không hợp với thơ	(ttừ) unpoetic.
không huấn luyện	(ttừ) untrained.
không huy hoàng	(ttừ) unprincely.
không hút nước	(ttừ) unarsorbent.
không hùng biện	(ttừ) unrhetorical.
không hùng dũng	(dtừ) unmanliness.
không hùng dũng	(ttừ) unmanly.
không hùng hồn	(dtừ) ineloquence.
không hùng hồn	(phó từ) unemphatically.
không hùng hồn	(ttừ) ineloquent, unemphatic.
không hùng vĩ	(ttừ) unimposing.
không hủy được	(thngữ) to tie up.
không hư	(ttừ) unspoiled.
không hư hỏng	(ttừ) undepraved, uncorrupted, whole, unvitiated.
không hứa hẹn	(dtừ) non-committal.
không hứa hẹn	(ttừ) uninspiring, unpromising, non-committal.
không hứa hẹn tốt	(ttừ) unfavourable.
không hy vọng	(dtừ) hopelessness.
không hy vọng	(ttừ) hopeless.
không in	(ttừ) unprinted.
không in được	(ttừ) unprintable.
không in ra	(ttừ) inedited, unissued.
không in tranh ảnh	(ttừ) unillustrated.
không ích kỷ	(dtừ) selflessness, unselfishness, self-renunciation.
không ích kỷ	(ttừ) unselfish, selfless.
không ít	() much.
không ít	() many.
không ít	() a lot.
không ít người	() a lot of people.
không ít người	() many people.
không ít thì nhiều	(thngữ) more or less.
không kém	(thngữ) if a day.
không kém đi	(ttừ) unflagging.
không kéo	(ttừ) unwithdrawn.
không kéo dài	(ttừ) unextended.
không kèm theo	(ttừ) unenclosed.
không kẻ	(ttừ) unruled.
không kê gối	(ttừ) uncushioned.
không kê ra	(ttừ) unenumerated.
không kêu	(dtừ) voicelessness.
không kêu	(ttừ) surd, dumb, unvoiced, sharp, sound-damping, soundless, voiceless.
không kêu ca	(dtừ) uncomplainingness.
không kêu ca	(ttừ) uncomplaining.
không kế liền	(ttừ) discontiguous.
không kết hợp	(dtừ) incoordination.
không kết hợp	(ttừ) incohesive, incoordinate.
không kết lại thành khối	(dtừ) incompactness.
không kết lại thành khối	(ttừ) incompact.
không kết quả	(ttừ) sterile.
không kết tinh	(dtừ) amorphousness.
không kết tinh	(ttừ) non-crystalline, amorphous.
không kết tinh được	(ttừ) uncrystallizable.
không kể	() xem chưa kể.
không kể đến	(thngữ) let alone.
không kể lại	(ttừ) unrelated, untold.
không kể xiết	() xem vô kể.
không khai khẩn	(ttừ) undeveloped.
không kham nổi	() xem không chịu nổi 1.
không kham nổi	() unequal to the task.
không khác gì	(ttừ) simple.
không khách khí	(dtừ) off-handedness, unceremoniousness, familiarity.
không khách khí	(phó từ) familiarly.
không khách khí	(ttừ) unceremonious, off-hand, familiar.
không khách sáo	(dtừ) homeliness.
không khách sáo	(ttừ) homely, cavalier.
không khám phá ra được	(ttừ) untraceable.
không kháng cự	(dtừ) non-resistance.
không kháng cự	(ttừ) non-resistant.
không khát máu	(ttừ) unbloody.
không khắc phục được	(dtừ) insuperability.
không khắc phục được	(ttừ) unsurmounted, unmastered.
không khẳng định	(ttừ) unassertive.
không khâm phục	(ttừ) unadmiring.
không khẩn nài	(ttừ) unsolicited.
không khéo	() likely.
không khéo	() possibly.
không khéo léo	(dtừ) clumsiness.
không khéo léo	(dtừ, phó từ) fair and square.
không khéo léo	(ttừ) undiplomatic.
không khéo tay	(ttừ) heavy-handed.
không khéo xử	(ttừ) tactless.
không khép	(ttừ) unshut.
không khêu gợi	(ttừ) unsuggestive.
không khi nào	() xem không bao giờ.
không khi nào nữa	(phó từ) nevermore.
không khi nào tôi	(thngữ) far be it from me.
không khiếp sợ	(ttừ) heart-whole.
không khiển trách được	(ttừ) unblamable.
không khí	() air.
không khí	() atmosphere.
không khí	() atmospheric.
không khí ẩm thấp	(dtừ) damp.
không khí bùng nổ chiến tranh	(dtừ) war-cloud.
không khí đồng quê trong lành	() fresh country air.
không khí hôi thối	(dtừ) reek.
không khí lễ nô-en	(ttừ) christmassy.
không khí mờ sương	(dtừ) blight.
không khí ngoài biển	(dtừ) sea air.
không khí thần bí	(dtừ) mystique.
không khí trong sạch	(dtừ) ozone.
không khít	(ttừ) loose.
không khoa học	(ttừ) unscientific.
không khoa trương	(ttừ) unrhetorical.
không khoan dung	(dtừ) intolerant, unforgivingness, intolerance.
không khoan dung	(ttừ) unforgiving, intolerant.
không khoan hồng	(ttừ) ungenerous.
không khoan nhượng	(dtừ) intransigentism, intransigence.
không khoan nhượng	(ttừ) intransigent, hard-line.
không khoanh lại	(ttừ) uncrossed.
không khoe khoang	(ttừ) undisplayed.
không khó chịu	(ttừ) unoffensive.
không khó khăn	(ttừ) thornless.
không khó khăn gì	(phó từ) readily.
không khó khăn gì	(thngữ) hands down, at an easy rate.
không khó lắm	(ttừ) softish.
không khó nhọc mấy	(ttừ) cushy.
không khóa mõm	(ngđtừ) unmuzzle.
không khóc	(ttừ) tearless.
không khòm	(ttừ) unbowed.
không khỏe	(dtừ) uselessness.
không khỏe	(phó từ) nohow.
không khỏe	(thngữ) to be off colour.
không khỏe	(ttừ) useless, poorly, unwell.
không khỏe lắm	(ttừ) funny.
không khỏe mạnh	(ttừ) diseased.
không khỏi	() cannot help....
không khôn	(dtừ) inadvisability.
không khôn	(ttừ) inadvisable.
không khôn khéo	(ttừ) undiplomatic, maladroit.
không khôn ngoan	(dtừ) inadvisability, impoliticness, indiscreetness.
không khôn ngoan	(ttừ) impolitic, inadvisable, unwise, indiscreet, uncanny, ill-judged.
không khớp	(nđtừ) disagree.
không khớp	(ttừ) out-of-truth.
không khớp tiếng	(ttừ) non-synchronized.
không khuây	(ttừ) unconsoled, unalleviated, unassuaged, unallayed.
không khuất phục được	(ttừ) tameless.
không khuếch tán	(ttừ) undiffused.
không khuếch trương	(ttừ) undeveloped.
không khuyên bảo được	(ttừ) unadvisable.
không khuyên giải được	(ttừ) disconsolate.
không khuyết điểm	(dtừ) indefectibility.
không khuyết điểm	(ttừ) faultless, indefectible.
không khúm núm	(thngữ) to stick up to.
không khúm núm	(ttừ) uncourtly.
không kiên cố	(dtừ) unsolidity.
không kiên cố	(ttừ) unsolid.
không kiên định	(dtừ) mutability, unsteadfastness, versatility, volatility, fickleness, infirmity, instability, mercuriality, lubricity, inconstancy.
không kiên định	(ttừ) uncertain, mutable, versatile, protean, fickle, mercurial, volatile, unsteadfast, seesaw, instable, lubricous, chameleonic, unstable, inconstant, infirm.
không kiên nhẫn	(ttừ) inconstant, unpersevering.
không kiên nhẫn chịu đựng	(ttừ) unforbearing.
không kiên quyết	(ttừ) unstable.
không kiên tâm	(dtừ) impatience.
không kiên tâm	(ttừ) impatient.
không kiên trì	(ttừ) unpersevering, inconstant.
không kiêu căng	(dtừ) unpretentiousness.
không kiêu căng	(ttừ) unpretentious.
không kiếm chác gì được	(thngữ) to make nothing out of.
không kiếm mà có	(ttừ) unearned.
không kiềm chế	(ngđtừ) unbridle, uncurb.
không kiềm chế	(ttừ) unbridled, incontinent.
không kiềm chế được	(dtừ) ungovernableness, incontinence.
không kiềm chế được	(phó từ) incontinently.
không kiềm chế được	(ttừ) unmastered, ungovernable, rampant.
không kiểm soát được	(dtừ) uncontrollableness.
không kiểm soát được	(ttừ) uncontrollable.
không kiểm soát được nữa	(thngữ) out of hand.
không kiểm tra được	(dtừ) uncontrollableness.
không kiểm tra được	(ttừ) uncontrollable.
không kiểu cách	(dtừ) homeliness, unceremoniousness.
không kiểu cách	(ttừ) homely, unceremonious.
không kiệt sức	(ttừ) unexhausted.
không kinh điển	(ttừ) unclassical.
không kinh hoảng	(ttừ) unappalled.
không kinh ngạc	(ttừ) unamazed.
không kích	() to stage an air attack/raid.
không kích	() to bomb.
không kích động	(ttừ) ungalvanized.
không kín đáo	(dtừ) indiscreetness.
không kín đáo	(ttừ) indiscreet.
không kính chúa	(dtừ) impiety.
không kính chúa	(ttừ) impious.
không kìm lại	(ttừ) incontinent.
không kìm lại được	(dtừ) incontinence.
không kìm lại được	(phó từ) incontinently.
không kịp	() not in time.
không kịp thở	(phó từ) breathlessly.
không kịp thở	(ttừ) breathless.
không ký giao kèo	(ttừ) uncovenanted.
không ký tên	(ttừ) unsigned.
không kỵ	() air cavalry.
không lai	(phó từ) pur sang.
không lai	(ttừ) pure, clean-bred, purebred.
không lan ra các nơi khác	(ttừ) stationary.
không lan truyền	(dtừ) incommunicativeness.
không lan truyền	(ttừ) undispersed, unpropagated, incommunicative.
không lay chuyển	(dtừ) inflexibility.
không lay chuyển	(ttừ) obdurate, unshaken, inflexible.
không lay chuyển được	(dtừ) griminess, immovability, inexorability, impregnability.
không lay chuyển được	(thngữ) stiff upper lip.
không lay chuyển được	(ttừ) grim, steel-hearted, stubborn, immovable, inexorable, unshakable.
không lay chuyển nổi	() unshakeable.
không lay chuyển nổi	() inflexible.
không lá	(ttừ) aphyllous.
không lá mầm	(ttừ) acotyledonous.
không lá noãn	(ttừ) acarpellous.
không lái	(ttừ) unguided.
không láng	(ttừ) unpolished.
không láng giấy	(ttừ) unglazed.
không lát	(ttừ) unpaved.
không lát gỗ xung quanh	(ttừ) untimbered.
không là ai khác ngoài	() none other than....
không là cái gì ngoài	(thngữ) nothing but.
không là của ai	(ttừ) unpossessed.
không là gì	() to be nothing.
không làm	(ttừ) unpractised, undone, unexecuted, uneffected.
không làm ai sợ	(thngữ) hold no fears/terrors for sb.
không làm ăn gì cả	(ttừ) idle.
không làm ăn gì được	(thngữ) it's no go.
không làm bàng hoàng	(ttừ) unwithering.
không làm bằng	(ngđtừ) unequalize, unequalise.
không làm bằng gỗ	(ttừ) untimbered.
không làm bằng lòng	(ngđtừ) dissatisfy.
không làm bằng lòng	(ttừ) dissatisfactory.
không làm bực mình	(ttừ) offenceless.
không làm cho ăn ngon miệng	(ttừ) unappetizing.
không làm cho bớt được	(ttừ) irrelievable.
không làm cho cứng cáp	(ngđtừ) unsinew.
không làm cho đỡ được	(ttừ) irrelievable.
không làm cho héo hắt	(ttừ) unwithering.
không làm cho nguôi được	(ttừ) unappeasable.
không làm cho người ta tin	(ttừ) unconvincing.
không làm cho phỉ được	(ttừ) unappeasable.
không làm cho tin theo được	(ttừ) unpersuasive.
không làm cho vui	(ttừ) unentertaining.
không làm cho vững chắc	(ngđtừ) unsinew.
không làm cho yên được	(ttừ) unappeasable.
không làm chủ được	(thngữ) beyond (out of) control.
không làm chủ được	(ttừ) unmanageable.
không làm dấu	(ttừ) unsigned.
không làm đỡ được	(ttừ) slakeless.
không làm đúng theo	(dtừ) incompliance.
không làm đúng với	(ngđtừ) belie.
không làm được	(dtừ) failure.
không làm được	(ttừ) unrealizable.
không làm được trò trống gì	(ttừ) ineffective.
không làm gì	(dtừ) hibernation.
không làm gì	(nđtừ) hibernate.
không làm gì	(thngữ) to twiddle one's thumbs.
không làm gì được	(phó từ) incapably.
không làm hài lòng	(ngđtừ) dissatisfy.
không làm hài lòng	(ttừ) dissatisfactory.
không làm hại ai	(dtừ) harmlessness.
không làm hại ai	(ttừ) harmless.
không làm hết sức mình	(dtừ) stint.
không làm hiệu	(ttừ) unsigned.
không làm hư hỏng	(ttừ) unperveted.
không làm lại	(ttừ) unrenewed.
không làm lóa mắt	(ttừ) antidazzle.
không làm mà hưởng	(thngữ) to reap where one has not sown.
không làm mất lòng	(ttừ) unoffensive, offenceless.
không làm mếch lòng	(ttừ) inoffensive.
không làm mệt	(ttừ) fatigueless.
không làm náo động dư luận	(ttừ) unsensational.
không làm nản chí được	(ttừ) undauntable.
không làm nên trò trống gì	(thngữ) to come to good.
không làm ngang	(ngđtừ) unequalise, unequalize.
không làm nguôi được	(ttừ) slakeless.
không làm nhục	(ttừ) unoffensive.
không làm ở trước	(ttừ) extrajudicial.
không làm ra vẻ mô phạm	(ttừ) unpedantic.
không làm sai	(ttừ) unperveted.
không làm thỏa mãn	(ngđtừ) dissatisfy.
không làm thỏa mãn	(ttừ) unsatisfying, dissatisfactory, unsatisfactory.
không làm thỏa ước vọng	(ngđtừ) disappoint.
không làm thỏa ý mong đợi	(ngđtừ) disappoint.
không làm tròn	(dtừ) failing, omission.
